tw_0,雖然通常沒什麼威力，但有很低的機率來一次殺死對方。
tw_452,"\f=限時物品，有效期：24小時\f>。\n使用即可為所在血盟增加\fW275點\f>血盟資源。"
tw_453,"\f=限時物品，有效期：24小時\f>。\n使用即可為所在血盟增加\fW225點\f>血盟資源。"
tw_454,"\f=限時物品，有效期：24小時\f>。\n使用即可為所在血盟增加\fW300點\f>血盟資源。"
tw_455,"\f=限時物品，有效期：24小時\f>。\n使用即可為所在血盟增加\fW250點\f>血盟資源。"
tw_456,"\f=限時物品，有效期：24小時\f>。\n使用即可為所在血盟增加\fW200點\f>血盟資源。"
tw_457,"血盟任務物品。擊敗\fW火山地區和侏儒城堡\f>的魔物可獲得。"
tw_458,"血盟任務物品。擊敗\fW海底城堡1-3層、海底深淵或達特福德\f>的魔物可獲得。"
tw_459,"血盟任務物品。擊敗\fW德雷克地監1-5層、騎特拉地監1-4層\f>的魔物可獲得。"
tw_460,"血盟任務物品。擊敗\fW德雷克山嶽、蟻洞1-3層\f>的魔物可獲得。"
tw_461,"血盟任務物品。擊敗\fW德雷克地監4-6層、海底城堡1-3層、海底深淵\f>的魔物可獲得。"
tw_462,"血盟任務物品。擊敗\fW德雷克山嶽、德雷克地監1-3層、騎特拉地監1-2層\f>的魔物可獲得。"
tw_463,"血盟任務物品。擊敗\fW沙棘木、蟻洞1-3層\f>的魔物可獲得。"
tw_464,"天神降下聖光洗清身上的罪孽，使用後可減少10點PK值。\n地獄內不可使用"
tw_465,"低等神靈死亡後遺留下的眼睛。\n持續時間內，對自身2格範圍內進行偵查，若範圍內出現隱身目標，則在自身角色頭上顯示警告。"
tw_466,"高等神靈死亡後遺留下的眼睛。\n持續時間內，對自身3格範圍內進行偵查，若範圍內出現隱身目標，則在自身角色頭上顯示警告。"
tw_467,"可在\fW婕西[飾品製作]\f>處用於抽獎，也可以用來升級飾品（戒指、耳環、腰帶）。"
tw_468,"使用後，隨機獲得一个瑕疵的戒指飾品（瑕疵的炎之戒、瑕疵的風之戒、瑕疵的水之戒、瑕疵的砂之戒、瑕疵的源之戒）。"
tw_469,"使用後，隨機獲得一个瑕疵的耳環飾品（瑕疵的戰王耳環、瑕疵的戰鷹耳環、瑕疵的戰靈耳環）。"
tw_470,"使用後，隨機獲得一个瑕疵的腰帶飾品（瑕疵的磐石腰帶、瑕疵的閃靈腰帶）。"
tw_471,"伊娃流下的淚水，縈繞著淡淡的哀傷。\n來自伊娃之島，可用於在水淩林的\fW婕西[飾品製作]\f>處升級飾品。"
tw_472,"天神服開服慶典禮盒。打開後可獲得：\n\f=萬能藥（力量）x5\f> \n\f=英雄紋章x50\f> \n\f=經驗魔方福袋x5\f>"
tw_473,"天神服開服慶典禮盒。打開後可獲得：\n\f=萬能藥（敏捷）x5\f> \n\f=英雄紋章x50\f> \n\f=經驗魔方福袋x5\f>"
tw_474,"天神服開服慶典禮盒。打開後可獲得：\n\f=萬能藥（智力）x5\f> \n\f=英雄紋章x50\f> \n\f=經驗魔方福袋x5\f>"
tw_475,"使用後可獲得：\n\f=綁定的4倍經驗魔方x5\f>"
tw_476,"天神開服幸運禮盒。打開後有機會獲得以下珍稀道具：\n\f=[堅固防護]魔法書x1\f> \n\f=[增幅防禦]魔法書x1\f>"
tw_477,"天神開服幸運禮盒。打開後有機會獲得以下珍稀道具：\n\f=[衝擊士氣]魔法書x1\f> \n\f=[國士無雙]魔法書x1\f>"
tw_478,"天神開服幸運禮盒。打開後有機會獲得以下珍稀道具：\n\f=[高級治癒術]魔法書x1\f> \n\f=[魂體轉換]晶石x1\f> \n\f=[三重矢]晶石x1\f> \n\f=[風之神射]風晶石x1\f> \n\f=土之元素x1\f> \n\f=火之元素x1\f> \n\f=水之元素x1\f> \n\f=風之元素x1\f>"
tw_479,"天神開服幸運禮盒。打開後有機會獲得以下珍稀道具：\n\f=[高級治癒術]魔法書x1\f> \n\f=[極道落雷]魔法書x1\f> \n\f=[召喚術]魔法書x1\f> \n\f=[烈炎術]魔法書x1\f>"
tw_480,"天神開服幸運禮盒。打開後有機會獲得以下珍稀道具：\n\f=[命中提升]暗晶石x1\f> \n\f=[攻擊提升]暗晶石x1\f> \n\f=[暗夜之牙]暗晶石x1\f> \n\f=[雙重破壞]暗影晶石x1\f> \n\f=三級暗夜魔石x1\f>"
tw_481,"可用於天神獎池抽獎。\n每天限購5次"
tw_482,"活動期間每天限購5張，可用來兌換經驗魔方福袋。"
tw_483,"打開後可隨機獲得一顆一等的普通符石。"
tw_484,"打開後可隨機獲得一顆二等的普通符石。"
tw_485,"激活套裝後：體力+20"
tw_486,"激活套裝後：防禦-1，體力+10"
tw_487,"激活套裝後：防禦-3，魔防+5"
tw_488,激活套裝後：變形死亡騎士，防禦-4，體力恢復-7
tw_489,激活套裝後：變形布倫丹，防禦-4，體力恢復-7
tw_490,激活套裝後：防禦-3
tw_491,激活套裝後：防禦-3
tw_492,激活套裝後：防禦-1，體力+5
tw_493,激活套裝後：防禦-3
tw_494,激活套裝後：防禦-2，體力+10
tw_495,激活套裝後：魔力+50，土防+5
tw_496,激活套裝後：防禦-3
tw_497,激活套裝後：防禦-2，魔防+10
tw_498,"我的盾牌！我的軍團！忠於我的國家！\n——紅騎士宣言。\n激活套裝後：防禦-2，魔防+10。\n\f=套裝組件含：頭盔、斗篷、盾牌"
tw_499,承載希望的和平之刃。
tw_500,精靈巧匠特製的皮質手套。
tw_501,奇幻的魔法頭盔，裝備後能夠施展附魔武器、體魄強健術與破匿之眼。
tw_502,"神秘的晶石，刻有精靈古文，蘊含著神奇的魔法力量！ \n分類：Ⅳ階魔法（職業）\n效果：有一定機率依照自身的屬性類型來降低目標對應元素防禦50。成功率與雙方等級差有關。 \n學習要求：\n精靈：40等"
tw_503,"這是一把能蠱惑人心的恐怖法杖，貝雷特在神殿雪塔偷偷修煉黑魔法，就是受到法杖的誘惑，而變得邪惡無比，裝備後魔力恢復增強。 ,"
tw_504,為抗擊獸人入侵，精靈族鐵匠大師歷經險難，終於在德雷克山岳尋得珍貴之材，成功鍛造出碎甲之刃。
tw_505,蘊含神力的神秘卷軸，源自於伏爾坎神的信仰，可強化裝備火元素。
tw_506,質脆味美、營養豐富，食用後增進血液循環。
tw_507,奇特的探險之靴，裝備後能夠在深海中呼吸自如。
tw_508,一頂普通的燈籠，使用後獲得照明效果，照明範圍大。
tw_509,採用油布製作的斗篷，非常耐磨。
tw_510,"皇室秘典，承載著古往今來的王者之能！ \n分類：Ⅰ階魔法（職業）\n效果：召喚同公會的指定成員到自己當前的位置。 \n學習要求：\n王族：30等"
tw_511,一把銅鑰匙。
tw_512,上等綠寶石。
tw_513,果身彎曲，果肉鬆軟，食用後緩解緊張，淡定走遍地監路。
tw_514,寵物項圈，馴服寵物之用。
tw_515,使用後增加1點體質屬性點數。\n洗禮前單個屬性最多獲得5點萬能藥加成，每個角色最多能使用15個萬能藥。\n洗禮後單個屬性最多獲得10點萬能藥加成，每個角色最多能使用30個萬能藥。\n此屬性點數等效於裝備的點數加成，不受屬性重置影響。（包括回憶泉水、生命聖泉和輪迴奧術。）
tw_516,特殊的魔法戒指，嵌合碧水之心，裝備後提升水元素防禦。
tw_517,上等藍寶石。
tw_518,普通鑽石。
tw_519,受幸運魔法加持的匕首，有一定機率對目標造成大量傷害。
tw_520,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅱ階魔法（職業）\n效果：將已死亡的對象復活，使其體力值完全恢復。 \n學習要求：\n法師：32等"
tw_521,"水晶石，源自月光女神的祝福，蘊含著祥和的水系力量！ \n分類：Ⅴ階魔法（職業）\n效果：有一定機率使目標在持續時間內禁止治療，該負面狀態可被聖潔之光清除。成功率與雙方等級差有關。 \n學習要求：\n精靈：50等"
tw_522,普通的鐵製頭盔。
tw_523,一柄精心製作的銀製斧頭。
tw_524,卡美洛雖然不復存在，但人們仍抱有希望，新卡美洛就是他們的期盼之地。
tw_525,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅱ階魔法（職業）\n效果：恢復目標的大量體力值，也可對不死系怪物造成傷害。 \n學習要求：\n法師：32等"
tw_526,一根普通的蠟燭，使用後獲得照明效果，照明範圍小。
tw_527,閃動著耀眼光芒的黃金指環，裝備後增加魔法防禦。
tw_528,經自然發酵釀造出來的果酒，酒香甘醇。
tw_529,"風晶石，源自月光女神的祝福，蘊含著輕靈的風系力量！ \n分類：Ⅳ階魔法（職業）\n效果：為自己及同隊伍成員提升2點遠程命中及3點遠程攻擊傷害。 \n學習要求：\n精靈：40等"
tw_530,根據古老圖紙改造而出的箭矢。
tw_531,巴風特修煉黑魔法墜入黑暗，在他變化之際，截取了頭上犄角，將之煉化成法杖，裝備後有機率觸發魔法技能。
tw_532,稱手的長戟。
tw_533,"加拉哈德已經死亡，現在的他只是帶著獠牙頭盔的死亡騎士。\n激活套裝後：變形死亡騎士，防禦-4，體力恢復-7。\n\f=套裝組件含：頭盔、盔甲、手套、鞋"
tw_534,"皇室秘典，承載著古往今來的王者之能！ \n分類：Ⅱ階魔法（職業）\n效果：為自己及同隊伍成員提升5點物理攻擊傷害，效果會與激勵士氣相互覆蓋。 \n學習要求：\n王族：50等"
tw_535,鍾愛大自然的精靈果然喜歡墨綠色的斗篷。
tw_536,"暗黃鐵盔，頂上兩根犄角彰顯著狂野氣息。\n激活套裝後：防禦-1，體力+5。\n\f=套裝組件含：頭盔、斗篷、盾牌"
tw_537,根據流傳至今的槍弩設計圖紙，威力驚人。
tw_538,受精靈女神祝福過的敏捷頭盔。
tw_539,"怯懦者不配冠以騎士的榮耀頭銜！ \n——騎士守則"
tw_540,精靈製作的秘銀鍊甲，甲衣之上秘銀相間，輕盈實用。
tw_541,舒適的新手皮甲。
tw_542,輕質硬木盔甲。
tw_543,"原本只是普通的枯木法杖，染上黃金巨蟒的魔血後，擁有強大的魔法之力。"
tw_544,稱手的長槍。
tw_545,金絲包邊的毛絨手套，擁有較強的御寒效果。
tw_546,湛若天水的卓越藍寶石。
tw_547,"死亡的氣息籠罩著馬洛斯，每一步的戰靴踏地聲，都讓人心生絕望。\n激活套裝後：變形死亡騎士，防禦-4，體力恢復-7。\n\f=套裝組件含：頭盔、盔甲、手套、鞋"
tw_548,神奇的救命之水，可復活已死亡的目標。
tw_549,鏈甲上部是鋼鐵護胸，下部是由細小鐵環相套而成。
tw_550,堅固的新手皮盾。
tw_551,"神秘的晶石，刻有精靈古文，蘊含著神奇的魔法力量！ \n分類：Ⅱ階魔法（職業）\n效果：施法者的所有元素防禦加强10。 \n學習要求：\n精靈：20等"
tw_552,"伊丁大陸上較為少見的魔法書籍，記錄著中級魔法技能\n分類：Ⅲ階魔法（普通）\n效果：恢復目標的體力值，也可對不死系怪物造成傷害。 \n學習要求：\n法師：12等\n精靈：24等"
tw_553,這條毅力項錬已經殘破不堪，蘊含的能量極不穩定。
tw_554,受精靈女神祝福過的體質頭盔。
tw_555,造型奇特的黃金戒指，擁有強大的魔法防禦。
tw_556,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：對目標造成傷害且有機率凍結目標。冰凍成功率與自身智力和目標抗冰凍屬性有關。 \n學習要求：\n法師：28等"
tw_557,一柄普通的斧頭，開刃無光。
tw_558,經過精靈祝福的魔法短劍。
tw_559,採用黃金製作而成的箭矢，傷害驚人。
tw_560,新手佩戴的寶石指環。
tw_561,經過精靈祝福的敏捷短劍。
tw_562,奇幻的手套，浮動著地系魔法波紋，裝備後魔力恢復增強，提升土元素防禦。
tw_563,一把灰褐的木鑰匙。
tw_564,刀身鑄花紋，行雲流水，美妙異常。
tw_565,果皮粗糙，果肉香甜，食用後保持年輕活力。
tw_566,正義！如銀長劍般高尚而不沾染邪惡。
tw_567,從神殿雪塔流傳出去，刻有傳送魔法陣的魔法斗篷。
tw_568,未經過加工的銀晶石。
tw_569,雙弧刃戰斧，象徵一種瘋狂而無畏的衝鋒精神，裝備後加速效果，被攻擊時承受額外傷害。
tw_570,上等鑽石。
tw_571,"一塊塊骨頭拼湊成一副完整的盾牌，顯得陰森恐怖。\n激活套裝後：防禦-2，體力+10。\n\f=套裝組件含：頭盔、盔甲、盾牌"
tw_572,來自應許之島的祝福項錬。
tw_573,"神秘的晶石，刻有精靈古文，蘊含著神奇的魔法力量！ \n分類：Ⅰ階魔法（職業）\n效果：施法者除了在禁止傳送的地區外，可以立即傳送到世界樹。 \n學習要求：\n精靈：10等"
tw_574,未經過加工的黑色秘銀晶石。
tw_575,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅳ階魔法（職業）\n效果：持續時間內提升目標20%體力及魔力最大值。 \n學習要求：\n法師：60等"
tw_576,光潔晶瑩的卓越鑽石。
tw_577,一盞普通的燃燈，使用後獲得照明效果，照明範圍中。
tw_578,瓶內裝著藍色魔法藥水，使用後可加快魔力恢復速度。
tw_579,蘊含神力的神秘卷軸，源自於梵迪神的信仰，可強化裝備風元素。
tw_580,斯科特的利爪，珍稀的高等材料。
tw_581,普通的皮質手套。
tw_582,鋒利巨劍，煞氣凌人。
tw_583,"普通的鐵製頭盔，內膽附有薩滿的保護巫術。\n激活套裝後：防禦-3。\n\f=套裝組件含：頭盔、斗篷、盔甲、盾牌"
tw_584,"珍貴的魔法書籍，蘊含著強大的神魔之力，記錄著高級魔法技能。 \n分類：Ⅵ階魔法（普通）\n效果：從目標身體上創造出傀儡，傀儡能跟隨並幫助施法者，精靈僅可召喚高級喪尸。 \n學習要求：\n法師：24等\n精靈：48等"
tw_585,一把黑鑰匙。
tw_586,戈倫的魂靈精華。
tw_587,"土晶石，源自月光女神的祝福，蘊含著厚實的土元素力量！ \n分類：Ⅳ階魔法（職業）\n效果：持續時間內，受到來自玩家角色的物理和魔法傷害減少15%。 \n學習要求：\n精靈：40等"
tw_588,奇特的寶石項錬，發散著璀璨光耀，裝備後有照明的效果。
tw_589,普通匕首，小巧便攜。
tw_590,採用黑色秘銀製作而成的箭矢，傷害驚人。
tw_591,天藍軟水晶製作而成的盔甲。
tw_592,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅲ階魔法（職業）\n效果：找出屏幕內隱藏的怪物及玩家，使其顯形並受到傷害。如果對玩家使用，需要打開pk開關。\n學習要求：\n法師：36等"
tw_593,記載著飾品研究心得的珍貴卷軸，可對飾品進行強化升等。
tw_594,柔軟的動物皮膚。
tw_595,新鮮肉類。
tw_596,普通的長弓。
tw_597,經過特殊加工的石頭，可修復受損武器。
tw_598,古老的魔法卷軸，寫滿奇異的咒文，可摧毀一切防具。
tw_599,鴉喙尖刺，長柄戰矛。
tw_600,本是田農的生產工具，經過加重改造後，成為攻擊武器。
tw_601,這條精神項錬已經殘破不堪，蘊含的能量極不穩定。
tw_602,"風晶石，源自月光女神的祝福，蘊含著輕靈的風系力量！ \n分類：Ⅲ階魔法（職業）\n效果：在持續時間內，提升施法者移動速度。 \n學習要求：\n精靈：30等"
tw_603,"水晶石，源自月光女神的祝福，蘊含著祥和的水系力量！ \n分類：Ⅴ階魔法（職業）\n效果：恢復同隊成員的一定量的體力值。 \n學習要求：\n精靈：50等"
tw_604,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅳ階魔法（職業）\n效果：從天空召喚出一把巨大的光槍刺向目標，對敵人造成致命傷害。 \n學習要求：\n法師：40等"
tw_605,普通的鐵製短劍。
tw_606,"伊丁大陸上公開的魔法書籍，記錄著初級魔法技能。法師職業30等前使用消耗0點魔力，精靈和王族職業20等前使用消耗0點魔力。\n分類：Ⅰ階魔法（普通）\n效果：施放一個小型的魔法能量箭，對目標造成少量傷害。 \n學習要求：\n王族：10等\n法師：4等\n精靈：8等\n騎士：50等\n暗夜精靈：15等"
tw_607,經過粗略加工的塊狀秘銀。
tw_608,"騎士典籍，記錄著騎士的格鬥技巧，闡述著騎士的力量之源。 \n分類：Ⅰ階魔法（職業）\n效果：有一定機率反彈自身所受到的近戰物攻給攻擊者，必須裝備雙手劍類武器才能施放。成功率與自身力量和雙方等級差有關。 \n學習要求：\n騎士：50等"
tw_609,"伊丁大陸上公開的魔法書籍，記錄著初級魔法技能。 \n分類：Ⅰ階魔法（普通）\n效果：恢復目標的少量體力值，也可對不死系怪物造成傷害。 \n學習要求：\n王族：10等\n法師：4等\n精靈：8等\n騎士：20等\n暗夜精靈：15等"
tw_610,由大麥等穀物釀製的烈性蒸餾酒，酒香濃郁。
tw_611,閃著金色光芒的珍貴鑰匙。
tw_612,"英勇騎士的鋼鐵之軀——頭盔。\n激活套裝後：防禦-3。\n\f=套裝組件含：頭盔、盔甲、手套、鞋、盾牌"
tw_613,斯科特的鱗片，珍稀的高等材料。
tw_614,"英勇騎士的鋼鐵之軀——盾牌。\n激活套裝後：防禦-3。\n\f=套裝組件含：頭盔、盔甲、手套、鞋、盾牌"
tw_615,騎士的榮耀頭巾。
tw_616,"遠古時期，巫師使用的法杖，長久歲月之後，能自我護主。"
tw_617,皮質護甲，護肩上立有錐刺。
tw_618,由木質錘柄和金屬鎚頭構成，能夠震擊鋼鐵盔甲，造成可觀的傷害。
tw_619,卷軸上刻古老的魔法陣，可復活已死亡的目標。
tw_620,美味可口的精靈餅乾。精靈、法師食用後獲得低級的二段所有速度加成效果。
tw_621,經過精靈祝福的體質短劍。
tw_622,經過提煉的上等金屬。
tw_623,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：將神聖的力量加持到腳上，使施法者提升移動速度。 \n學習要求：\n法師：28等"
tw_624,什麼武器都難不倒內斯特，哪怕如這般彎曲的刀刃。
tw_625,伊丁傳統樂器，有著悠久的歷史。
tw_626,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅱ階魔法（職業）\n效果：使施法者處於隱身狀態，但若攻擊或有其他侵略性行為時則取消狀態。 \n學習要求：\n法師：32等"
tw_627,"皇室秘典，承載著古往今來的王者之能！ \n分類：Ⅰ階魔法（職業）\n效果：對非同血盟目標進行標記，持續45秒，在持續時間內，施法者的盟友可看到該標示；被標記目標若為玩家，則會使其受到的物理傷害提高1%+(攻擊者等級/15)%，僅對物理傷害生效。 \n學習要求：\n王族：55等"
tw_628,環內刻有神秘符文的控制戒指，裝備後能夠指定變形形象。
tw_629,土龍的鱗片，散發著渾厚的土之力。
tw_630,"伊丁大陸上較為少見的魔法書籍，記錄著中級魔法技能\n分類：Ⅲ階魔法（普通）\n效果：向目標散發強烈的寒冰，使目標及其周圍1個單位內的敵人受到冰凍傷害。 \n學習要求：\n法師：12等\n精靈：24等"
tw_631,未經過加工的黃金晶石。
tw_632,貝雷特最終還是敗給了梅林，被封印在沙棘木城堡地監裡，永遠也走不出來。
tw_633,蟻后外層的風翼，閃耀著銀白光芒，擁有較大的魔法防禦，裝備後魔力恢復增強。
tw_634,"盾牌不止可以用來防守，還可以用來進攻，比如這個尖刺盾牌。\n激活套裝後：防禦-3。\n\f=套裝組件含：頭盔、盔甲、盾牌、鞋"
tw_635,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅱ階魔法（職業）\n效果：用魔法將對方封印，有一定機率使目標在持續時間內無法使用魔法。成功率與自身智力和目標抗沈默屬性有關。 \n學習要求：\n法師：32等"
tw_636,藍寶石項錬，靜心寧神。
tw_637,弓形雖小，殺傷力不容小覷。
tw_638,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅳ階魔法（職業）\n效果：有一定機率麻痺屏幕內的所有敵人。 \n學習要求：\n法師：40等"
tw_639,精心製作的高等皮革。
tw_640,"神秘的晶石，刻有精靈古文，蘊含著神奇的魔法力量！ \n分類：Ⅲ階魔法（職業）\n效果：有一定機率將由召喚術或迷魅術得來的怪物釋放掉。成功率與目標血量和雙方等級差有關。 \n學習要求：\n精靈：30等"
tw_641,長戟兩端都有利刃，倒鉤纏身，讓人防不勝防。
tw_642,未經過加工的白金晶石。
tw_643,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅱ階魔法（職業）\n效果：利用大地之力對施法者周圍一定範圍內引發地震，使施法者周圍1個單位內的敵人受到傷害。如果對玩家使用，需要打開pk開關。 \n學習要求：\n法師：32等"
tw_644,記載著奇怪咒語和符號的魔法書籍。
tw_645,王國士兵配備的通用鎧甲。
tw_646,經過專業加工的奧鋼金屬板。
tw_647,"伊丁大陸上公開的魔法書籍，記錄著初級魔法技能。 \n分類：Ⅰ階魔法（普通）\n效果：瞬間移動到隨機的位置，也可通過“傳送控制戒指”傳送到指定位置。 \n學習要求：\n王族：10等\n法師：4等\n精靈：8等\n騎士：50等\n暗夜精靈：15等"
tw_648,這是一把能斬殺魔物的好劍。
tw_649,"風晶石，源自月光女神的祝福，蘊含著輕靈的風系力量！ \n分類：Ⅲ階魔法（職業）\n效果：使目標提升4點遠程物攻。 \n學習要求：\n精靈：30等"
tw_650,"伊丁大陸上公開的魔法書籍，記錄著初級魔法技能。 \n分類：Ⅰ階魔法（普通）\n效果：用魔法召喚光源，照亮施法者周圍，持續3600秒。 \n學習要求：\n王族：10等\n法師：4等\n精靈：8等\n騎士：10等\n暗夜精靈：15等"
tw_651,形似兩片綠葉重疊，流水紋理，不乏美感。
tw_652,黑長者修煉魔法的方式比較奇特，他喜歡遠行尋找魔法真諦，裝備後魔力恢復增強。
tw_653,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅳ階魔法（職業）\n效果：創造出一個持續時間為12秒的無敵保護屏障，為施法者抵擋住所有的攻擊，期間若施放其他魔法則狀態消失。 \n學習要求：\n法師：40等"
tw_654,經過簡單提煉的秘銀角塊，可用來製作更強的武器。
tw_655,紫晶石項錬，深邃而睿智。
tw_656,輕薄的金屬板，光澤亮麗。
tw_657,"珍貴的魔法書籍，蘊含著強大的神魔之力，記錄著高級魔法技能。 \n分類：Ⅵ階魔法（普通）\n效果：在目標的武器上施放魔法，提升目標的物攻以及命中率。 \n學習要求：\n法師：24等\n精靈：48等"
tw_658,"珍貴的魔法書籍，蘊含著強大的神魔之力，記錄著高級魔法技能。 \n分類：Ⅵ階魔法（普通）\n效果：加速空間狀態，持續時間內使目標的速度提高，效果不能疊加。 \n學習要求：\n法師：24等\n精靈：48等"
tw_659,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：\n學習要求：\n法師：28等"
tw_660,平細長劍，光亮鋒利。
tw_661,刻有傳送魔法陣的卷軸，使用後傳送至附近城鎮。
tw_662,斯科特的巨眼，珍稀的高等材料。
tw_663,"水晶石，源自月光女神的祝福，蘊含著祥和的水系力量！ \n分類：Ⅴ階魔法（職業）\n效果：將已死亡的對象復活，使其體力值完全恢復，魔法值恢復一半。 \n學習要求：\n精靈：60等"
tw_664,古怪的鐵杖，特殊身份的象徵物。
tw_665,"騎士典籍，記錄著騎士的格鬥技巧，闡述著騎士的力量之源。 \n分類：Ⅱ階魔法（職業）\n效果：持續時間內，每次受到近戰傷害時，有機率致使目標中負面效果（近戰武器的所有攻擊傷害為0），該負面效果僅對玩家角色生效。 \n學習要求：\n騎士：60等"
tw_666,堅硬耐磨的奧鋼。
tw_667,"伊丁大陸上公開的魔法書籍，記錄著初級魔法技能。 \n分類：Ⅱ階魔法（普通）\n效果：在持續時間內增加自身負重值，能攜帶更多的道具。 \n學習要求：\n王族：20等\n法師：8等\n精靈：16等\n暗夜精靈：30等"
tw_668,"伊丁大陸上較為少見的魔法書籍，記錄著中級魔法技能\n分類：Ⅲ階魔法（普通）\n效果：用魔法判斷出怪物的弱點元素，怪物無弱點元素時則無顯示。 \n學習要求：\n法師：12等\n精靈：24等"
tw_669,精靈製作的劍身，可用來製作更強的武器。
tw_670,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅲ階魔法（職業）\n效果：\n學習要求：\n法師：36等"
tw_671,"巫師的魔法藥劑灑落在這長袍上，有股非常難聞的怪味。\n激活套裝後：魔力+50，土防+5。\n\f=套裝組件含：頭盔、斗篷"
tw_672,色澤鮮豔，口感爽脆，經常失眠，就是忘記吃它了。
tw_673,軟質精靈皮盔。
tw_674,牢固的硬木夾克。
tw_675,"神秘的晶石，刻有精靈古文，蘊含著神奇的魔法力量！ \n分類：Ⅲ階魔法（職業）\n效果：消耗自身68點體力值轉換成為24點魔法值。 \n學習要求：\n精靈：30等"
tw_676,沈重的巨型戰斧，采用精鋼鍛造而成。
tw_677,"伊丁大陸上較為少見的魔法書籍，記錄著中級魔法技能\n分類：Ⅲ階魔法（普通）\n效果：有一定的機率使不死系怪物立即斃命，但也有5%的機率使其進入狂暴狀態。成功率與自身智力和目標魔法防禦有關。 \n學習要求：\n法師：12等\n精靈：24等"
tw_678,"巴風特變成惡魔之前，曾夢想成為身著戰甲的英勇騎士。 \n效果：裝備後有一定機率免疫石化狀態。"
tw_679,"珍稀的魔法典籍，源自創世神蒂安的祝福，蘊含高等法則之力。 \n分類：Ⅳ階魔法（職業）\n效果：召喚大量流星從天而降，使目標及其周圍1個單位內的敵人受到極大的損傷。 \n學習要求：\n法師：40等"
tw_680,瓶內裝著青色魔法藥水，使用後可解除中毒狀態。
tw_681,瓶內裝著高濃度的魔法藥水，使用後可恢復較多體力。
tw_682,"高貴的金絲護甲掩蓋不了布倫丹貪婪的內心。\n激活套裝後：變形布倫丹，防禦-4，體力恢復-7。\n\f=套裝組件含：頭盔、盔甲、手套、鞋"
tw_683,"珍貴的魔法書籍，蘊含著強大的神魔之力，記錄著高級魔法技能。 \n分類：Ⅴ階魔法（普通）\n效果：恢復目標的較多體力值，也可對不死系怪物造成傷害。 \n學習要求：\n法師：20等\n精靈：40等"
tw_684,一種細長的紡織纖維。
tw_685,"厚實的皮製護盾。\n激活套裝後：防禦-3。\n\f=套裝組件含：頭盔、盔甲、鞋、盾牌"
tw_686,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：用魔法召喚出強大旋風，對施法者周圍2個單位內的所有敵人造成傷害。如果對玩家使用，需要打開pk開關。 \n學習要求：\n法師：28等"
tw_687,精靈族鐵匠大師的十三件傑作之一，鍛造之時，獸人族入侵精靈園林，戰火紛擾，不得不中斷鍛造，僅完成劍身，可再次加工，製作出更強的武器。
tw_688,普通紅寶石。
tw_689,"英勇騎士的鋼鐵之軀——手套。\n激活套裝後：防禦-3。\n\f=套裝組件含：頭盔、盔甲、手套、鞋、盾牌"
tw_690,紅艷如火的佳品布料。
tw_691,一根頭粗尾細的巨木棒，棒頭還有幾個突出的尖刺，十分危險。
tw_692,硬木大弓，外形可怕嚇人。
tw_693,"土晶石，源自月光女神的祝福，蘊含著厚實的土元素力量！ \n分類：Ⅴ階魔法（職業）\n效果：在持續時間內，使施法者增強10點防禦。 \n學習要求：\n精靈：50等"
tw_694,果皮光滑，果肉甚酸，有增強血管彈性和韌性的奇效。
tw_695,"伊丁大陸上公開的魔法書籍，記錄著初級魔法技能。 \n分類：Ⅱ階魔法（普通）\n效果：吸取目標少量體力值，並加入到自身體力中。 \n學習要求：\n王族：20等\n法師：8等\n精靈：16等\n暗夜精靈：30等"
tw_696,"採用上等橡木精心製作的法杖。"
tw_697,"帶著我的盾凱旋，或者躺在上面歸來。 \n——軍團號角"
