en_0,"0"
en_925,"Lump of Orichalcum"
en_926,"Orichalcum Plate"
en_927,"Blood of Ogre"
en_928,"Elements of stone"
en_929,"Dust of Fairy"
en_930,"Ala of Fairy"
en_931,"Thin Plate"
en_932,"Black Keys"
en_933,"Red Key"
en_934,"Ancient Arrow"
en_935,"Arrow"
en_936,"Silver Arrow"
en_937,"Golden Arrow"
en_938,"Mithril Arrow"
en_939,"Dark Mithril Arrow"
en_940,"Orichalcum Arrow"
en_941,"Iron Block"
en_942,"Rough of Iron"
en_943,"Stones"
en_944,"Solvent"
en_945,"Flour"
en_946,"Tomato"
en_947,"Holy Water"
en_948,"Scroll of Enchant Weapon: Fire"
en_949,"Scroll of Enchant Weapon: Earth"
en_950,"Scroll of Enchant Weapon: Water"
en_951,"Scroll of Enchant Weapon: Wind"
en_952,"Rebirth Potion"
en_953,"Letter"
en_954,"Scroll of Enchant Accessory"
en_955,"Steel-blood Badge"
en_956,"Rare Plate"
en_957,"Void Plate"
en_958,"Bones of Undead"
en_959,"Broken Leather (X)"
en_960,"Broken Leather (Y)"
en_961,"Marrow of Skeleton Mage"
en_962,"Purified Soul Crystal"
en_963,"Heart of Stone Golem (Quest)"
en_964,"Filthy Soul Crystal"
en_965,"Map of Promise Island Dungeon"
en_966,"Message from Old Escape Tunnel"
en_967,"Death Knight Power Essence"
en_968,"Filthy Soul Crystal"
en_969,"Undead Bones of Death Knight"
en_970,"Void Stone"
en_971,"Thri Kreen hearts"
en_972,"Werewolf Fangs"
en_973,"Ghoul Oil"
en_974,"Ghast Meat"
en_975,"Container of Bone Fragments"
en_976,"Grain"
en_977,"Stone Box"
en_978,"Silver"
en_979,"Oath"
en_980,"Lesser Healing Potion [Binded]"
en_981,"Antidote [Binded]"
en_982,"Healing Potion [Binded]"
en_983,"Hasting Potion [Binded]"
en_984,"Scroll of Escape [Binded]"
en_985,"Scroll of Teleportation [Binded]"
en_986,"Scroll of Curse Removal [Binded]"
en_987,"Scroll of Identify [Binded]"
en_988,"Whetstone [Binded]"
en_989,"Scroll of Enchant Weapon [Binded]"
en_990,"Scroll of Enchant Armor [Binded]"
en_991,"Hell Wood Key"
en_992,"Black Blood Key"
en_993,"Advanced Scroll of Polymorph"
en_994,"Ultimate Scroll of Polymorph"
en_995,"Returner's Gift Box"
en_996,"Gift of Teon [60 days]"
en_997,"Advanced Scroll of Weapon Protection"
en_998,"Coupon of Hide Valley Stone Box (Oath)"
en_999,"Protection Set"
en_1000,"Orcish Dagger"
en_1001,"Dice Dagger"
en_1002,"Body of Short Sword"
en_1003,"Dagger"
en_1004,"Elven Dagger"
en_1005,"Trainee's Dagger"
en_1006,"Mithril Dagger"
en_1007,"Orichalcum Dagger"
en_1008,"Cursed Sword of Bran"
en_1009,"Body of Long Sword"
en_1010,"Body of Orichalcum Sword"
en_1011,"Orcish Short Sword"
en_1012,"Mail Breaker"
en_1013,"Broad Sword"
en_1014,"Short Sword"
en_1015,"Silver Long Sword"
en_1016,"Dwarvish Short Sword"
en_1017,"Scimitar"
en_1018,"Elven Short Sword"
en_1019,"Silver Long Sword"
en_1020,"Sword of the Red Knight"
en_1021,"Long Sword"
en_1022,"Sword of Invader"
en_1023,"Trainee's Mantle"
en_1024,"Damascus Sword"
en_1025,"Cutlass"
en_1026,"Katana"
en_1027,"Rapier"
en_1028,"Shamshir"
en_1029,"Trainee's Two-Handed Sword"
en_1030,"Two Handed Sword"
en_1031,"Sword of Bran"
en_1032,"Tsurugi"
en_1033,"Fire Sword of Death Knight"
en_1034,"Doom Blade"
en_1035,"Great Sword"
en_1036,"Pan's Horn"
en_1037,"Mithril-Coated Horn"
en_1038,"Bardiche"
en_1039,"Orcish Spear"
en_1040,"Bill Guisarme"
en_1041,"Trident"
en_1042,"Partisan"
en_1043,"Lance"
en_1044,"Spear"
en_1045,"Guisarme"
en_1046,"Glaive"
en_1047,"Elven Spear"
en_1048,"Orichalcum-Coated Horn"
en_1049,"Lucerne Hammer"
en_1050,"Halberd"
en_1051,"Fauchard"
en_1052,"Trainee's Spear"
en_1053,"Bec de Corbin"
en_1054,"Elven Short Sword of Magic Resistance"
en_1055,"Elven Short Sword of Dexterity"
en_1056,"Crystal Staff"
en_1057,"Trainee's Staff"
en_1058,"Staff of Beleth"
en_1059,"Staff of Baphomet"
en_1060,"Staff of Sorcery"
en_1061,"Staff of Mana"
en_1062,"Iron Staff of Mana"
en_1063,"Oak Staff"
en_1064,"Wizard's Staff"
en_1065,"Staff of Strength"
en_1066,"Axe"
en_1067,"Athame"
en_1068,"Club"
en_1069,"Flail"
en_1070,"Mace"
en_1071,"War Hammer"
en_1072,"Silver Axe"
en_1073,"Battle Axe"
en_1074,"Dwarvish Axe"
en_1075,"Berserker Axe"
en_1076,"Morning Star"
en_1077,"Trainee's Axe"
en_1078,"Great Axe"
en_1079,"Hunter Bow"
en_1080,"Elven Bow of Dexterity"
en_1081,"Orcish Bow"
en_1082,"Bow"
en_1083,"Short Bow"
en_1084,"Trainee's Stone Bow"
en_1085,"Trainee's Bow"
en_1086,"Crossbow"
en_1087,"Yumi"
en_1088,"Ancient Bowgun"
en_1089,"Venti's Bow"
en_1090,"Elven Short Sword of Spell Power"
en_1091,"Elven Short Sword of Constitution"
en_1092,"Staff of Mana (Personal)"
en_1093,"Staff of Gem (Personal)"
en_1094,"Enchanted Spear"
en_1095,"Master Magician"
en_1096,"Enchanted Soldier's Axe"
en_1097,"Magic archer"
en_1098,"Enchanted Warrior"
en_1099,"Enchanted Spider"
en_1100,"Enchanted Ghoul"
en_1101,"Enchanted Bugbear King"
en_1102,"Rotting Body"
en_1103,"Cursed Law"
en_1104,"Plagued One"
en_1105,"Doomed One"
en_1106,"Enchanted Ogre"
en_1107,"Strange Old Man"
en_1108,"Strange Old Man's Shadow"
en_1109,"Unlucky Ghost"
en_1110,"Unlucky Ghost's Shadow"
en_1111,"Enchanted Spider Queen"
en_1112,"Greedy Axe Wielder"
en_1113,"Claw of Disaster"
en_1114,"Sick Sin"
en_1115,"Enchanted Baphomet"
en_1116,"Scroll of Polymorph - Death Knight"
en_1117,"Sword of Hope (Personal)"
en_1118,"Sword of Hope"
en_1119,"Magic Recovery Potion"
en_1120,"Scroll of Return - Maros Dungeon 1F [Binded]"
en_1121,"Scroll of Return - Maros Dungeon 2F [Binded]"
en_1122,"Scroll of Return - Maros Dungeon 3F [Binded]"
en_1123,"Scroll of Return - Maros Dungeon 4F [Binded]"
en_1124,"Scroll of Return - Maros Dungeon 5F [Binded]"
en_1125,"Scroll of Return - Maros Dungeon 6F [Binded]"
en_1126,"Scroll of Return - Maros Dungeon 7F [Binded]"
en_1127,"Sheep's Bones"
en_1128,"Deadwood"
en_1129,"Essence of Bone Meal"
en_1130,"Totem (Quest)"
en_1131,"Totem Fragments"
en_1132,"Great Pumpkin [Halloween]"
en_1133,"Pumpkin Biscuit [Halloween]"
en_1134,"Orc's Totem (Quest)"
en_1135,"Elf Crystal (Quest)"
en_1136,"Water of God (Quest)"
en_1137,"Orc Leader's Letter (Quest)"
en_1138,"Fog Barrier Spellbook (Quest)"
en_1139,"Core of Fog Barrier (Quest)"
en_1140,"Moon Goddess Blessing (Quest)"
en_1141,"Lost sheep"
en_1142,"Stolen Elven Wings (Quest)"
en_1143,"Santa Hat"
en_1144,"Santa Socks"
en_1145,"Chrismas Gift"
en_1146,"Lucky Chrismas Gift"
en_1147,"Temporary Oath"
en_1148,"Treasure Map (Promise Island)"
en_1149,"Treasure Map (Maros)"
en_1150,"Treasure Map (Orc Town)"
en_1151,"Treasure Map (Elven Garden)"
en_1152,"Treasure Map (Sandwood)"
en_1153,"Advanced Treasure Map (Promise Island)"
en_1154,"Piece of Ancient Treasure Map I"
en_1155,"Piece of Ancient Treasure Map II"
en_1156,"Piece of Ancient Treasure Map III"
en_1157,"Piece of Ancient Treasure Map IV"
en_1158,"Scroll of Polymorph I (Knight)"
en_1159,"Scroll of Polymorph Ⅱ (Knight)"
en_1160,"Scroll of Polymorph Ⅲ (Knight)"
en_1161,"Scroll of Polymorph IV (Knight)"
en_1162,"Scroll of Polymorph Ⅴ (Knight)"
en_1163,"Scroll of Polymorph Ⅵ (Knight)"
en_1164,"Scroll of Polymorph I (Mage)"
en_1165,"Scroll of Polymorph Ⅱ (Mage)"
en_1166,"Scroll of Polymorph Ⅲ (Mage)"
en_1167,"Scroll of Polymorph IV (Mage)"
en_1168,"Scroll of Polymorph Ⅴ (Mage)"
en_1169,"Scroll of Polymorph Ⅵ (Mage)"
en_1170,"Scroll of Polymorph I (Elf)"
en_1171,"Scroll of Polymorph Ⅱ (Elf)"
en_1172,"Scroll of Polymorph Ⅲ (Elf)"
en_1173,"Scroll of Polymorph IV (Elf)"
en_1174,"Scroll of Polymorph Ⅴ (Elf)"
en_1175,"Scroll of Polymorph Ⅵ (Elf)"
en_1176,"Scroll of Polymorph I (Royal)"
en_1177,"Scroll of Polymorph Ⅱ (Royal)"
en_1178,"Scroll of Polymorph Ⅲ (Royal)"
en_1179,"Scroll of Polymorph IV (Royal)"
en_1180,"Scroll of Polymorph Ⅴ (Royal)"
en_1181,"Scroll of Polymorph Ⅵ (Royal)"
en_1182,"Ungoliant Monarch"
en_1183,"Kobold Chieftain"
en_1184,"Cerberus Monarch"
en_1185,"Goblin Leader"
en_1186,"Hobgoblin Leader"
en_1187,"Elite Skeleton General"
en_1188,"Elite Skeleton Mage General"
en_1189,"Elite Skeleton Axeman General"
en_1190,"Elite Skeleton Archer General"
en_1191,"Elite Skeleton Spearman General"
en_1192,"Skeleton Lieutenant"
en_1193,"Skeleton Mage Lieutenant"
en_1194,"Skeleton Axeman Lieutenant"
en_1195,"Skeleton Archer Lieutenant"
en_1196,"Skeleton Spearman Lieutenant"
en_1197,"Werewolf Alpha"
en_1198,"Floating Eye Elite"
en_1199,"Lycanthrope Alpha"
en_1200,"Zombie Leader"
en_1201,"Shelob Monarch Leader"
en_1202,"Stone Golem Elite"
en_1203,"Ghast Leader"
en_1204,"Ogre Cheiftain"
en_1205,"Ghoul Leader"
en_1206,"Slime Elite"
en_1207,"Orc Chieftain"
en_1208,"Orc Mage Chieftain"
en_1209,"Orc Archer Chieftain"
en_1210,"Orc Fighter Chieftain"
en_1211,"Thri Keen Monarch"
en_1212,"Bugbear Monarch"
en_1213,"Nightshade Elite"
en_1214,"Dwarf Elite"
en_1215,"Dwarf Warrior Elite"
en_1216,"Treasure Map"
en_1217,"Advanced Treasure Map"
en_1218,"Lolth Queen"
en_1219,"Drow Lieutenant"
en_1220,"Orc Grunt Lieutenant"
en_1221,"Orc Guard Lieutenant"
en_1222,"Orc Slurbow Lieutenant"
en_1223,"Orc Shaman Chieftain"
en_1224,"Orc Zombie Chieftain"
en_1225,"Scroll of Polymorph I"
en_1226,"Scroll of Polymorph Ⅱ"
en_1227,"Scroll of Polymorph Ⅲ"
en_1228,"Scroll of Polymorph IV"
en_1229,"Scroll of Polymorph Ⅴ"
en_1230,"Scroll of Polymorph Ⅵ"
en_1231,"Crystal"
en_1232,"Earth Crystal"
en_1233,"Water Crystal"
en_1234,"Wind Crystal"
en_1235,"Fire Crystal"
en_1236,"Lucky Pocket [T]"
en_1237,"Lucky Pocket [E]"
en_1238,"Lucky Pocket [O]"
en_1239,"Lucky Pocket [N]"
en_1240,"Celebration Cake"
en_1241,"Celebration Gift"
en_1242,"Sage Blessing"
en_1243,"红爆竹"
en_1244,"新年变形卷轴"
en_1245,"快乐变形卷轴"
en_1246,"Naughty Nian"
en_1247,"Greedy Nian"
en_1248,"Fled Nian"
en_1249,"Old Advanced Scroll of Polymorph [Binded]"
en_1250,"Advanced Scroll of Polymorph [Binded]"
en_1251,"Refines"
en_1252,"Magical appliance of Meilin"
en_1253,"Teon Anniverary Gift Package"
en_1254,"Server Anniverary Gift Package"
en_1255,"Binded"
en_1256,"Bloodthirst Werewolf"
en_1257,"Bloodthirst Ogre"
en_1258,"Bloodthirst Werewolf Leader"
en_1259,"Bloodthirst Ogre Leader"
en_1260,"Crimson Knight's Shield"
en_1261,"Succubus Queen"
en_1262,"Cockatrice Leader"
en_1263,"Old"
en_1264,"Shining"
en_1265,"Amy[Costume]"
en_1266,"Greedy"
en_1267,"[Chaotic Arena]"
en_1268,"[Market]"
en_1269,"[Attribute Conversion]"
en_1270,"Character Growth Treasure Box"
en_1271,"Sacred Stone of Hope"
en_1272,"Parth Temple's Protection"
en_1273,"Ring of Peace"
en_1274,"Zese's Mighty Weapon"
en_1275,"Scroll of Enchant Weapon (Quest)"
en_1276,"Sealed Oath [15 Days]"
en_1277,"Gloria"
en_1278,"Magic Rune Stone"
en_1279,"Magical Dye"
en_1280,"Special Magical Dye"
en_1281,"Evil Hunter"
en_1282,"Elite Skeleton Archer"
en_1283,"Elite Skeleton Mage"
en_1284,"Elite Skeleton Archer Lieutenant"
en_1285,"Elite Skeleton Mage Lieutenant"
en_1286,"Blood Nightshade"
en_1287,"Bloodthirst Spider"
en_1288,"Demon Archer"
en_1289,"Red Knight Set"
en_1290,"Death Knight Set"
en_1291,"Bran Set"
en_1292,"Leather Set"
en_1293,"Orc Set"
en_1294,"Dwarf Set"
en_1295,"Studded Leather Set"
en_1296,"Bone Set"
en_1297,"Wizard Set"
en_1298,"Iron Set"
en_1299,"Studded Leather Sandals"
en_1300,"Leather Cap"
en_1301,"Leather Helmet"
en_1302,"Iron Visor"
en_1303,"Knight's Hood"
en_1304,"Knight Visor"
en_1305,"Dwarvish Iron Helm"
en_1306,"Old Helm of Wind"
en_1307,"Death Knight Helmet"
en_1308,"Helmet of Magic Resistance"
en_1309,"Hood of Wizardary"
en_1310,"Helm of Magic: Speed"
en_1311,"Helm of Magic: Healing"
en_1312,"Helm of Magic: Power"
en_1313,"Hood of Svipdag"
en_1314,"Crown"
en_1315,"Elven Helm of Dexterity"
en_1316,"Helm of Wind"
en_1317,"Helmet of the King Attila"
en_1318,"Cap of Sauroner"
en_1319,"Night Vision"
en_1320,"Red Knight's Hood"
en_1321,"Trainee's Leather Helm"
en_1322,"Cap of Skuld"
en_1323,"Bless of Elm"
en_1324,"Orcish Helm"
en_1325,"Elven Leather Helm"
en_1326,"Helm of Infravision"
en_1327,"Studded Leather Cap"
en_1328,"Elven Helm of Constitution"
en_1329,"Hood of Endor"
en_1330,"Helmet of Bran"
en_1331,"Circlet of Niviane"
en_1332,"Helmet"
en_1333,"Bone Helmet"
en_1334,"Golden Wing of Giant Ant Queen"
en_1335,"Silver Wing of Giant Ant Queen"
en_1336,"Dwarvish Cloak"
en_1337,"Earth Cloak"
en_1338,"Cloak of Mana"
en_1339,"Cloak of Magic Resistance"
en_1340,"Water Cloak"
en_1341,"Wind Cloak"
en_1342,"Cloak of Protection"
en_1343,"Cloak of the Red Knight"
en_1344,"Red Cloak"
en_1345,"Fire Cloak"
en_1346,"Orcish Cloak"
en_1347,"Elven Cloak"
en_1348,"Silver Cloak"
en_1349,"Cloak of Invisibility"
en_1350,"Cloak of Displacement"
en_1351,"Oilskin Cloak"
en_1352,"Trainee's T-Shirt"
en_1353,"T-shirt"
en_1354,"Leather Armor"
en_1355,"Leather Vest"
en_1356,"Steel Plate Mail"
en_1357,"Ring Mail"
en_1358,"Wooden Armor"
en_1359,"Death Knight Armor"
en_1360,"Banded Mail"
en_1361,"Chain Mail of Magic Resistance"
en_1362,"Clothing of Wizardary"
en_1363,"Cotton Robe"
en_1364,"Splint Mail"
en_1365,"Armor of Baphomet"
en_1366,"Armor of the King Attila"
en_1367,"Leather Vest with Belt"
en_1368,"Scale Mail"
en_1369,"Bone Armor"
en_1370,"Chain Mail"
en_1371,"Trainee's Leather Armor"
en_1372,"Crystal Plate Mail"
en_1373,"Orcish Ring Mail"
en_1374,"Orcish Chain Mail"
en_1375,"Elven Chain Mail"
en_1376,"Elven Plate Mail"
en_1377,"Elven Breast Plate"
en_1378,"Hard Leather Vest"
en_1379,"Studded Leather Armor"
en_1380,"Studded Leather Vest"
en_1381,"Bronze Plate Mail"
en_1382,"Armor of Bran"
en_1383,"Robe of Niviane"
en_1384,"Plate Mail"
en_1385,"Leather Gloves"
en_1386,"Iron Gloves"
en_1387,"Death Knight Gloves"
en_1388,"Gloves of the King Attila"
en_1389,"Gloves of Protection"
en_1390,"Gloves of Water Spirit"
en_1391,"Trainee's Leather Gloves"
en_1392,"Snow Gloves"
en_1393,"Crystal Gloves"
en_1394,"Gloves of Earth Spirit"
en_1395,"Gloves of Fire Spirit"
en_1396,"Gloves"
en_1397,"Gloves of Bran"
en_1398,"Gloves of Niviane"
en_1399,"Power Gloves"
en_1400,"Gloves of Wind Spirit"
en_1401,"Bracer"
en_1402,"Leather Boots"
en_1403,"Leather Sandals"
en_1404,"Iron Boots"
en_1405,"Death Knight Boots"
en_1406,"Boots of the King Attila"
en_1407,"Boots of Beleth"
en_1408,"High Boots"
en_1409,"Trainee's Leather Sandals"
en_1410,"Underwater Boots"
en_1411,"Low Boots"
en_1412,"Boots of Bran"
en_1413,"Boots of Niviane"
en_1414,"Sandals of Dark Elder"
en_1415,"Leather Shield"
en_1416,"Iron Shield"
en_1417,"Bone Shield"
en_1418,"Wooden Shield"
en_1419,"Dwarvish Round Shield"
en_1420,"Mana Crystal Ball"
en_1421,"Book of Magical Powers"
en_1422,"Shield of Reflection"
en_1423,"Red Eyed Shield"
en_1424,"Tower Shield"
en_1425,"Novice Leather Shield"
en_1426,"Elven Shield"
en_1427,"Orcish Shield"
en_1428,"Shield of the Silver Knight"
en_1429,"Small Shield"
en_1430,"Studded Leather Shield"
en_1431,"Tower Shield"
en_1432,"New Camelot Amulet"
en_1433,"Old Amulet of Charisma"
en_1434,"Old Amulet of Dexterity"
en_1435,"Old Amulet of Strength"
en_1436,"Old Amulet of Intelligence"
en_1437,"Old Amulet of Wisdom"
en_1438,"Old Amulet of Constitution"
en_1439,"Amulet of Charisma"
en_1440,"Amulet of Dexterity"
en_1441,"Promise Island Amulet"
en_1442,"Amulet of Orc Warrior"
en_1443,"Amulet of Strength"
en_1444,"Amulet of Intelligence"
en_1445,"Amulet of Wisdom"
en_1446,"Amulet of Constitution"
en_1447,"Skeleton Amulet"
en_1448,"Ring of Immunity to Magic"
en_1449,"Ring of Polymorph Control"
en_1450,"Trainee's Ring"
en_1451,"Ring of Summon Control"
en_1452,"Ring of Water Resistance"
en_1453,"Ring of Teleport Control"
en_1454,"Ring of Earth Resistance"
en_1455,"Ring of Wind Resistance"
en_1456,"Ring of Magic Resistance"
en_1457,"Ring of Fire Resistance"
en_1458,"Old Belt of Blood"
en_1459,"Old Belt of Soul"
en_1460,"Old Belt of Mind"
en_1461,"Shining Belt of Blood"
en_1462,"Shining Belt of Soul"
en_1463,"Shining Belt of Mind"
en_1464,"Belt of Blood"
en_1465,"Belt of Soul"
en_1466,"Ogre Belt"
en_1467,"Belt of Bravery"
en_1468,"Belt of Mind"
en_1469,"Troll Belt"
en_1470,"Leather Jacket"
en_1471,"Amulet of Light"
en_1472,"Magic Resistance Earrings"
en_1473,"Wooden Jacket"
en_1474,"Magic Resistance T-Shirt"
en_1475,"Old Amulet of Charisma"
en_1476,"Old Amulet of Dexterity"
en_1477,"Old Amulet of Strength"
en_1478,"Old Amulet of Intelligence"
en_1479,"Old Amulet of Wisdom"
en_1480,"Old Amulet of Constitution"
en_1481,"Elven Helm of Dexterity (Personal)"
en_1482,"Elven Helm of Constitution (Personal)"
en_1483,"Red Knight's Hood (Personal)"
en_1484,"Elven Leather Helm of Constitution (Personal)"
en_1485,"Elven Leather Helm of Dexterity (Personal)"
en_1486,"Blood Stain Hood (Personal)"
en_1487,"Succubus Queen"
en_1488,"Troll Leader"
en_1489,"Ettin Leader"
en_1490,"Blood Nightshade Leader"
en_1491,"Bloodthirst Ungoliant"
en_1492,"Demon Archer Lieutenant"
en_1493,"Moon Shine Earrings"
en_1494,"Star Dust Earrings"
en_1495,"Sun Strike Earrings"
en_1496,"Earrings of Protector"
en_1497,"Earrings of Hero"
en_1498,"Earrings of Sage"
en_1499,"Spear Lizard"
en_1500,"Spear Lizard Leader"
en_1501,"Sword Lizard"
en_1502,"Sword Lizard Leader"
en_1503,"Uni Dragon"
en_1504,"Terra Dragon"
en_1505,"I"
en_1506,"Ⅱ"
en_1507,"Ⅲ"
en_1508,"IV"
en_1509,"Ⅴ"
en_1510,"Ⅵ"
en_1511,"Secrets of Edin"
en_1512,"Servant [Inn]"
en_1513,"Gift Emissary"
en_1514,"Blessing from Teon"
en_1515,"Rune Stone of Fortune"
en_1516,"Gift to the Inviter"
en_1517,"Premium Gift to the Inviter"
en_1518,"Hunter's Battle Guide"
en_1519,"Greater Antidote"
en_1520,"Cassandra Home"
en_1521,"Promise Island Dungeon"
en_1522,"Maros Dungeon"
en_1523,"Elven Dungeon"
en_1524,"Elbereth Home"
en_1525,"To Drake Mountain"
en_1526,"Elven Garden"
en_1527,"Drake Mountain Dungeon"
en_1528,"Gloria [Market]"
en_1529,"To Maros Region"
en_1530,"To Land of Nature"
en_1531,"Lizard Archer"
en_1532,"Scorpien Monarch"
en_1533,"Basilisk Monarch"
en_1534,"Harpy Elite"
en_1535,"Lizardman Lieutenant"
en_1536,"Termite Monarch"
en_1537,"Polyrhachis Monarch"
en_1538,"Lizard Archer Lieutenant"
en_1539,"Deathsting"
en_1540,"Cloak of Mithril Ornamentation"
en_1541,"Cloak of Crimson Ornamentation"
en_1542,"Scroll of Polymorph I (Enchanted)"
en_1543,"Scroll of Polymorph Ⅱ (Enchanted)"
en_1544,"Scroll of Polymorph Ⅲ (Enchanted)"
en_1545,"Scroll of Polymorph IV (Enchanted)"
en_1546,"Scroll of Polymorph Ⅴ (Enchanted)"
en_1547,"Scroll of Polymorph Ⅵ (Enchanted)"
en_1548,"Advanced Scroll of Polymorph (Enchanted)"
en_1549,"Mithril Long Sword"
en_1550,"Venom of Scorpion"
en_1551,"Medicine"
en_1552,"Skin of Lizardman"
en_1553,"Pass of Sandwood Castle"
en_1554,"Venom Arrow (Quest)"
en_1555,"Venom Arrow"
en_1556,"Gol"
en_1557,"Granny Olan"
en_1558,"General George"
en_1559,"Orrick"
en_1560,"Marin"
en_1561,"Harbert"
en_1562,"Mysterious Mage"
en_1563,"Gia [Item Shop]"
en_1564,"Kirsten [Potion Shop]"
en_1565,"Upton [Armor Shop]"
en_1566,"Nelson [Weapon Shop]"
en_1567,"Geffroi [Warehouse]"
en_1568,"Sala [Item Shop]"
en_1569,"Camilla [Potion Shop]"
en_1570,"Raymond [Armor Shop]"
en_1571,"Skot [Weapon Shop]"
en_1572,"Josclyn [Warehouse]"
en_1573,"Otelin [Redeem]"
en_1574,"Matilda [Market]"
en_1575,"Camellia [Item Shop]"
en_1576,"Maris [Potions]"
en_1577,"Matilda [Armor Shop]"
en_1578,"Gareth [Weapon Shop]"
en_1579,"Tybalt [Warehouse]"
en_1580,"Villiame [Gold Coins]"
en_1581,"Juliana [Market]"
en_1582,"Xiu [Trader in the Oasis]"
en_1583,"To Sandwood Region"
en_1584,"Vampire Touch"
en_1585,"Traveler"
en_1586,"Pincer"
en_1587,"Fire Ant Monarch"
en_1588,"Soldier Ant Monarch"
en_1589,"Giant Ant Monarch"
en_1590,"Tears of Memory"
en_1591,"Scroll of Accessory Protection"
en_1592,"Staff of Gem"
en_1593,"Bounty Hunter's Badges"
en_1594,"Staff of Mystics"
en_1595,"Wishful Silk"
en_1596,"Firework"
en_1597,"Firework (Quest)"
en_1598,"Celebration Firework"
en_1599,"Best Wishes (Quest)"
en_1600,"120% EXP Cube [Binded]"
en_1601,"130% EXP Cube"
en_1602,"140% EXP Cube"
en_1603,"Holy Cube"
en_1604,"Predicador"
en_1605,"Celebration Emissary"
en_1606,"Evil Cerberus"
en_1607,"Mini Advanced Scroll of Polymorph [Binded]"
en_1608,"Celebration Cake (Quest)"
en_1609,"Weakened Dwarf"
en_1610,"Weakened Goblin"
en_1611,"Weakened Hobgoblin"
en_1612,"Weakened Gnoll"
en_1613,"Kurtz"
en_1614,"Life Spring"
en_1615,"Scroll of Enchant Armor (Quest)"
en_1616,"Trainee's Cloak"
en_1617,"Grain (Quest)"
en_1618,"Wood"
en_1619,"Wooden Bow"
en_1620,"Dwarf Warrior Helmet"
en_1621,"Purple Poition"
en_1622,"Orc Fighter Hair"
en_1623,"Potion"
en_1624,"Carrion"
en_1625,"Soul Crystal of Evil Eyes"
en_1626,"Carrion"
en_1627,"Fruit of Eternal Life"
en_1628,"Torn Scroll (Quest)"
en_1629,"Werewolf's Pelt"
en_1630,"Silver Ring"
en_1631,"Bone Armor"
en_1632,"Shelob Tooth"
en_1633,"Axe of Orc Fighter"
en_1634,"Phoenix Feather"
en_1635,"Alchemist Stone (Quest)"
en_1636,"Magic Ring"
en_1637,"Kashya"
en_1638,"Fara"
en_1639,"Raven"
en_1640,"Horbet"
en_1641,"Akara"
en_1642,"Cain"
en_1643,"Atma"
en_1644,"Jaromir"
en_1645,"Asheara"
en_1646,"Horton"
en_1647,"Dwarven Token (Quest)"
en_1648,"Goblin Dagger (Quest)"
en_1649,"Servant Soul Crystal (Quest)"
en_1650,"Lotus Petal (Quest)"
en_1651,"Lotus Seed (Quest)"
en_1652,"Stolen Lump of Iron (Quest)"
en_1653,"A Bag of Stolen Supplies (Quest)"
en_1654,"Goblin Thief Club (Quest)"
en_1655,"Broken Bow (Quest)"
en_1656,"Farm Wrecking Evidence (Quest)"
en_1657,"Fire Vine (Quest)"
en_1658,"Family Token (Quest)"
en_1659,"Name Tag (Quest)"
en_1660,"Soul Crystal (Quest)"
en_1661,"Floating Eye Flesh (Quest)"
en_1662,"Soul Crystal of Werewolf"
en_1663,"Lump of Iron (Quest)"
en_1664,"Shelob Leg (Quest)"
en_1665,"Werewolf Fang (Quest)"
en_1666,"Shelob Silk (Quest)"
en_1667,"Ungoliant Venom (Quest)"
en_1668,"Letter (Quest)"
en_1669,"Wolf Pelt (Quest)"
en_1670,"Old Book (Discard Required)"
en_1671,"Old Helmet (Character Warehouse-Deposit Required)"
en_1672,"Trainee's Dagger"
en_1673,"Trainee's Bow"
en_1674,"Trainee's Long Sword"
en_1675,"Trainee's Staff"
en_1676,"Shining Trainee's Bow"
en_1677,"Shining Trainee's Long Sword"
en_1678,"Shining Trainee's Staff"
en_1679,"Trainee's T-Shirt"
en_1680,"Trainee's Plate Armor"
en_1681,"Trainee's Cloak"
en_1682,"Trainee's Helmet"
en_1683,"Trainee's Glove"
en_1684,"Trainee's Boots"
en_1685,"Trainee's Shield"
en_1686,"Trainee's Ring"
en_1687,"Shining Trainee's Cloak"
en_1688,"Shining Trainee's Helmet"
en_1689,"Nard"
en_1690,"Ernald"
en_1691,"Ascelin"
en_1692,"Barret"
en_1693,"Drew"
en_1694,"Dellas Potion"
en_1695,"Dellas Item Kit"
en_1696,"Dellas Weapon"
en_1697,"Dellas Armor"
en_1698,"Raven Ring"
en_1699,"Warrior Badge"
en_1700,"Magic Axe"
en_1701,"Guidance Bird"
en_1702,"Aisha's Map"
en_1703,"Gabriel [Self Training]"
en_1704,"Powell [Navigation Tutor]"
en_1705,"Trainee Buffer"
en_1706,"Lv40-49 Region"
en_1707,"Lv50-56 Region"
en_1708,"Lv57-63 Region"
en_1709,"Lv64-69 Region"
en_1710,"Trial Stone"
en_1711,"Batty [Clanwar]"
en_1712,"Hana"
en_1713,"Scroll of Clan Tele"
en_1714,"Armor Fragments"
en_1715,"Desert Hound"
en_1716,"Death Flower"
en_1717,"Harpoon Spider"
en_1718,"Skeleton Bone"
en_1719,"Desert Hound Leader"
en_1720,"Death Flower Blossom"
en_1721,"Harpoon Spider Monarch"
en_1722,"Dragon Boots·Magic"
en_1723,"Dragon Boots·Protection"
en_1724,"Dragon Boots·Precision"
en_1725,"Dragon Boots·Strength"
