pt_0,"$0 "
pt_955,"Insígnia de Coragem"
pt_956,"Placa Rara"
pt_957,"Placa Vazia"
pt_958,"Ossos de Zumbis"
pt_959,"Couro rasgado(X)"
pt_960,"Couro rasgado(Y)"
pt_961,"Essência do Mago Esqueleto"
pt_962,"Cristal da Alma Purificada"
pt_963,"Coração do Golem de Pedra"
pt_964,"Cristal da Alma Corrompida"
pt_965,"Mapa da Masmorra da Ilha Prometida"
pt_966,"Mensagem do Túnel de Fuga Antigo"
pt_967,"Essência do Poder do Cavaleiro da Morte"
pt_968,"Cristal da Alma Corrompida"
pt_969,"Ossos Zumbificados do Cavaleiro da Morte"
pt_970,"Pedra Vazia"
pt_971,"Corações dos Thri Kreen"
pt_972,"Presas de Lobisomem"
pt_973,"Óleo de Ghoul"
pt_974,"Carne de Ghast"
pt_975,"Recipiente de Fragmentos de Osso"
pt_976,"Pacotes de Suprimento de Comida"
pt_977,"Caixa de Pedra"
pt_978,"Moeda de Platina Antiga"
pt_979,"Juramento Escrito"
pt_980,"Poção de Cura Inferior (vinculado)"
pt_981,"Poção de Cura de Venenos (vinculado)"
pt_982,"Poção de Cura Inferior (vinculado)"
pt_983,"Poção de Velocidade (vinculado)"
pt_984,"Pergaminho de Fuga (vinculado)"
pt_985,"Pergaminho de Teleporte (vinculado)"
pt_986,"Pergaminho de Retirada de Maldição (vinculado)"
pt_987,"Pergaminho de Identificação (vinculado)"
pt_988,"Pedra de Amolar (vinculado)"
pt_989,"Pergaminho de Encantamento de Arma (vinculado)"
pt_990,"Pergaminho de Encantamento de Armadura (vinculado)"
pt_991,"Chave de Madeira do Inferno"
pt_992,"Chave de Sangue Negra"
pt_993,"Pergaminho de Deformação Avançado"
pt_994,"Pergaminho de Deformação Supremo"
pt_995,"Presente do Sábio"
pt_996,"Presente de Teon(60 dias)"
pt_997,"Scroll of Greater Proction (Weapon)"
pt_998,NULL
pt_999,NULL
pt_1000,"Adaga de Orc"
pt_1001,"Adaga de Dados"
pt_1002,"Corpo da Espada Curta"
pt_1003,Adaga
pt_1004,"Adaga de Elfo"
pt_1005,"Adaga de Novato"
pt_1006,"Adaga de Mithril"
pt_1007,"Adaga de Oricalco"
pt_1008,"Espada de Bran Amaldiçoada"
pt_1009,"Corpo da Espada Longa"
pt_1010,"Corpo da Espada de Oricalco"
pt_1011,"Espada Curta de Orc"
pt_1012,"Rompedor de Malha"
pt_1013,"Espada Larga"
pt_1014,"Espada Curta"
pt_1015,"Espada de Prata"
pt_1016,"Espada Curta de Anão"
pt_1017,Cimitarra
pt_1018,"Espada Curta de Elfo"
pt_1019,"Espada de Prata Longa"
pt_1020,"Espada do Cavaleiro Vermelho"
pt_1021,"Espada Larga"
pt_1022,"Espada dos Cavaleiros Negros"
pt_1023,"Espada de Mão Única de Novato"
pt_1024,"Espada de Damasco"
pt_1025,"Adaga dos Cavaleiros Negros"
pt_1026,Katana
pt_1027,Rapieira
pt_1028,Shamshir
pt_1029,"Espada de Duas Mãos de Novato"
pt_1030,"Espada de Duas Mãos"
pt_1031,"Espada de Bran"
pt_1032,Tsurugi
pt_1033,"Espada de Fogo do Cavaleiro da Morte"
pt_1034,"Lâmina do Destino"
pt_1035,"Grande Espada"
pt_1036,"Corneta do Pan"
pt_1037,"Corneta Revestida com Mithril"
pt_1038,Bardiche
pt_1039,"Lança de Orc"
pt_1040,"Bill Guisarme"
pt_1041,Tridente
pt_1042,Partisan
pt_1043,Lanceta
pt_1044,Lanceta
pt_1045,Guisarme
pt_1046,Glaive
pt_1047,"Lança de Elfo"
pt_1048,"Corneta Revestida com Oricalco"
pt_1049,"Lança de Nestro"
pt_1050,Alabarda
pt_1051,Glaive
pt_1052,"Lança de Novato"
pt_1053,"Lança de Guerra do Bico do Corvo"
pt_1054,"Espada Curta da Resistência a Magia de Elfo"
pt_1055,"Espada Curta da Destreza de Elfo"
pt_1056,"Cajado de Cristal"
pt_1057,"Cajado de Novato"
pt_1058,"Cajado de Beleth"
pt_1059,"Cajado de Baphomet"
pt_1060,"Cajado da Fetiçaria"
pt_1061,"Cajado de Mana"
pt_1062,"Cajado de Mana de Aço"
pt_1063,"Cajado de Carvalho"
pt_1064,"Cajado de Bruxo"
pt_1065,"Cajado da Força"
pt_1066,Machado
pt_1067,Athame
pt_1068,Clava
pt_1069,Massa
pt_1070,Bastão
pt_1071,"Martelo de Guerra"
pt_1072,"Machado de Prata"
pt_1073,Bardiche
pt_1074,"Machado de Batalha de Aço Nobre"
pt_1075,"Machado de Berserker"
pt_1076,"Estrela da Manhã"
pt_1077,"Machado de Novato"
pt_1078,"Grande Machado"
pt_1079,"Arco de Caçador"
pt_1080,"Arco de Elfo"
pt_1081,"Arco de Orc"
pt_1082,Arco
pt_1083,"Arco Curto"
pt_1084,"Arco de Pedra de Novato"
pt_1085,"Arco de Novato"
pt_1086,Besta
pt_1087,Yumi
pt_1088,"Arma de Arco Antiga"
pt_1089,"Arco de Venti"
pt_1090,"Espada Curta do Poder dos Encantos de Elfo"
pt_1091,"Espada Curta da Constituição de Elfo"
pt_1092,"Cajado de Mana(Pessoal)"
pt_1093,"Cajado de Gema(Pessoal)"
pt_1094,"Lança Encantada"
pt_1095,"Mago Mestre"
pt_1096,"Machado de Soldado Encantado"
pt_1097,"Arqueiro Mágico"
pt_1098,"Guerreiro Encantado"
pt_1099,"Aranha Encantada"
pt_1100,"Ghoul Encantado"
pt_1101,"Rei Bicho-papão Encantado"
pt_1102,"Corpo em decomposição"
pt_1103,"Lei Amaldiçoada"
pt_1104,Atormentado
pt_1105,Condenado
pt_1106,"Ogro Encantado"
pt_1107,"Velho Estranho"
pt_1108,"Sombra do Velho Estranho"
pt_1109,"Fantasma Azarado"
pt_1110,"Sombra do Fantasma Azarado"
pt_1111,"Rainha Aranha Encantada"
pt_1112,"Portador do Machado Avarento"
pt_1113,"Garra do Desastre"
pt_1114,"Pecado Doente"
pt_1115,"Baphomet Encantado"
pt_1116,"Pergaminho de Deformação Supremo"
pt_1117,"Espada da Esperança(Pessoal)"
pt_1118,"Espada da Esperança"
pt_1119,"Poção de Recuperação Mágica"
pt_1120,"Pergaminho de Retorno - Masmorra de Maros 1F (vinculado)"
pt_1121,"Pergaminho de Retorno - Masmorra de Maros 2F (vinculado)"
pt_1122,"Pergaminho de Retorno - Masmorra de Maros 3F (vinculado)"
pt_1123,"Pergaminho de Retorno - Masmorra de Maros 4F (vinculado)"
pt_1124,"Pergaminho de Retorno - Masmorra de Maros 5F (vinculado)"
pt_1125,"Pergaminho de Retorno - Masmorra de Maros 6F (vinculado)"
pt_1126,"Pergaminho de Retorno - Masmorra de Maros 7F (vinculado)"
pt_1127,"Ossos de Carneiro"
pt_1128,Deadwood
pt_1129,"Refeição Essência de Osso"
pt_1130,Totem
pt_1131,"Fragmentos de Totem"
pt_1132,"Grande Abóbora [Dia das Bruxas]"
pt_1133,"Biscoito de Abóbora [Dia das Bruxas]"
pt_1134,"Totem de Orc"
pt_1135,"Pedra de Elfo"
pt_1136,"Deus da Água"
pt_1137,"Carta do Líder dos Orc"
pt_1138,"Antigo Livro de Feitiços de Magia da Névoa"
pt_1139,"A Pedra de Coração do Feitiço da Névoa"
pt_1140,"Bênção da Deusa da Lua"
pt_1141,"Carneiro perdido"
pt_1142,"Asas de Elfo roubadas"
pt_1143,"Chapéu de Papai Noel"
pt_1144,"Meia de Papai Noel"
pt_1145,"Presente de Natal"
pt_1146,"Presente de Natal Sortudo"
pt_1147,"Juramento Temporário"
pt_1148,"Mapa do Tesouro Avançado (Ilha Prometida)"
pt_1149,NULL
pt_1150,NULL
pt_1151,NULL
pt_1152,NULL
pt_1153,"Mapa do Tesouro Avançado (Ilha Prometida)"
pt_1154,"Pedaço de Mapa do Tesouro Avançado I (Ilha Prometida)"
pt_1155,"Pedaço de Mapa do Tesouro Avançado II (Ilha Prometida)"
pt_1156,"Pedaço de Mapa do Tesouro Avançado III (Ilha Prometida)"
pt_1157,"Pedaço de Mapa do Tesouro Avançado IV (Ilha Prometida)"
pt_1158,NULL
pt_1159,NULL
pt_1160,NULL
pt_1161,NULL
pt_1162,NULL
pt_1163,NULL
pt_1164,NULL
pt_1165,NULL
pt_1166,NULL
pt_1167,NULL
pt_1168,NULL
pt_1169,NULL
pt_1170,NULL
pt_1171,NULL
pt_1172,NULL
pt_1173,NULL
pt_1174,NULL
pt_1175,NULL
pt_1176,NULL
pt_1177,NULL
pt_1178,NULL
pt_1179,NULL
pt_1180,NULL
pt_1181,NULL
pt_1182,"Monarca Ungoliant"
pt_1183,"Líder Duende"
pt_1184,"Monarca Cérbero"
pt_1185,"Líder Goblin"
pt_1186,"Líder Hobgoblin"
pt_1187,"General Esqueleto de Elite"
pt_1188,"General Esqueleto Mago de Elite"
pt_1189,"General Esqueleto Machadeiro de Elite"
pt_1190,"General Esqueleto Arqueiro de Elite"
pt_1191,"General Esqueleto Lanceiro de Elite"
pt_1192,"Tenente Esqueleto"
pt_1193,"Tenente Esqueleto Mago"
pt_1194,"Tenente Esqueleto Machadeiro"
pt_1195,"Tenente Esqueleto Arqueiro"
pt_1196,"Tenente Esqueleto Lanceiro"
pt_1197,"Lobisomem Alfa"
pt_1198,"Olho Voador de Elite"
pt_1199,"Licantropo Alfa"
pt_1200,"Líder Zumbi"
pt_1201,"Monarca Laracna"
pt_1202,"Golem de Pedra de Elite"
pt_1203,"Líder Ghast"
pt_1204,"Líder Ogro"
pt_1205,"Líder Ghoul"
pt_1206,"Lodo de Elite"
pt_1207,"Líder Ogro"
pt_1208,"Líder Orc Mago"
pt_1209,"Líder Orc Arqueiro"
pt_1210,"Líder Orc Lutador"
pt_1211,"Monarca Thri Keen"
pt_1212,"Monarca Bicho-papão"
pt_1213,"Nightshade de Elite"
pt_1214,"Anão de Elite"
pt_1215,"Anão Guerreiro de Elite"
pt_1216,"Mapa do Tesouro"
pt_1217,"Mapa do Tesouro Avançado"
pt_1218,"Monarca Lolth"
pt_1219,"Tenente Drow"
pt_1220,"Tenente Grunhido do Orc"
pt_1221,"Tenente Guarda Orc"
pt_1222,"Tenente Balestra de Orc"
pt_1223,"Líder Xamã Orc"
pt_1224,"Líder Zumbi Orc"
pt_1225,"Pergaminho de Polimorfagem Nível 1"
pt_1226,"Pergaminho de Polimorfagem Nível 2"
pt_1227,"Pergaminho de Polimorfagem Nível 3"
pt_1228,"Pergaminho de Polimorfagem Nível 4"
pt_1229,"Pergaminho de Polimorfagem Nível 5"
pt_1230,"Pergaminho de Polimorfagem Nível 6"
pt_1231,"Cristal do Espírito"
pt_1232,"Cristal do Espírito Especial (Terra)"
pt_1233,"Cristal do Espírito Especial (Água)"
pt_1234,"Cristal do Espírito Especial (Vento)"
pt_1235,"Cristal do Espírito Especial (Fogo)"
pt_1236,NULL
pt_1237,NULL
pt_1238,NULL
pt_1239,NULL
pt_1240,NULL
pt_1241,NULL
pt_1242,NULL
pt_1243,NULL
pt_1244,NULL
pt_1245,NULL
pt_1246,NULL
pt_1247,NULL
pt_1248,NULL
pt_1249,"Pergaminho Rasgado Avançado de Polimorfo(vinculado)"
pt_1250,"Pergaminho de Deformação Avançado(vinculado)"
pt_1251,"A essência de polimorfagem"
pt_1252,"Aparelho mágico de Merlin"
pt_1253,NULL
pt_1254,NULL
pt_1255,vinculado
pt_1256,"Lobisomem Sanguinário"
pt_1257,"Ogro Sanguinário"
pt_1258,"Lobisomem Sanguinário Alfa"
pt_1259,"Líder Ogro Sanguinário"
pt_1260,"Escudo do Cavaleiro Escarlate"
pt_1261,"Líder Súcubo"
pt_1262,"Líder Cocatrice"
pt_1263,Velho
pt_1264,Reluzente
pt_1265,Amy[Estilo]
pt_1266,Ganancioso
pt_1267,"[Arena Caótica]"
pt_1268,[Mercado]
pt_1269,"[Conversão de Atributo]"
pt_1270,"Caixa de Presente de Desenvolvimento de Personagem"
pt_1271,"Pedra da Esperança Sagrada"
pt_1272,"Proteção do Templo de Parth"
pt_1273,"Anel da Paz"
pt_1274,"Arma Poderosa de Zese"
pt_1275,"Pergaminho de Encantamento de Arma (Exclusivo da Missão)"
pt_1276,"Juramento Selado (15 Dias)"
pt_1277,Gloria
pt_1278,"Pedra de Runa Mágica"
pt_1279,"Tintura Mágica"
pt_1280,"Tintura Mágica Especial"
pt_1281,"Predador Maligno"
pt_1282,"Arqueiro Esqueleto das Trevas"
pt_1283,"Mago Esqueleto das Trevas"
pt_1284,"Tenente Esqueleto Arqueiro das Trevas"
pt_1285,"Tenente Esqueleto Mago das Trevas"
pt_1286,"Sombra Sangrenta"
pt_1287,"Aranha Assassina"
pt_1288,"Arqueiro Demoníaco"
pt_1289,"Conjunto do Cavaleiro Vermelho"
pt_1290,"Conjunto do Cavaleiro da Morte"
pt_1291,"Conjunto de Bran"
pt_1292,"Conjunto de Couro"
pt_1293,"Conjunto de Orc"
pt_1294,"Conjunto de Anão"
pt_1295,"Conjunto de Couro Adornado"
pt_1296,"Conjunto de Osso"
pt_1297,"Conjunto de Mago"
pt_1298,"Conjunto de Ferro"
pt_1299,"Sandálias de Couro Adornadas"
pt_1300,"Gorro de Couro"
pt_1301,"Elmo de Couro"
pt_1302,"Visor de Ferro"
pt_1303,"Capuz do Cavaleiro"
pt_1304,"Visor do Cavaleiro"
pt_1305,"Elmo de Ferro de Anão"
pt_1306,"Velho Elmo de Vento"
pt_1307,"Elmo do Cavaleiro da Morte"
pt_1308,"Elmo da Resistência a Magia"
pt_1309,"Gorro de Bruxo"
pt_1310,"Elmo de Magia: Velocidade"
pt_1311,"Elmo de Magia: Cura"
pt_1312,"Elmo de Magia: Poder"
pt_1313,"Gorro de Svipdag"
pt_1314,Coroa
pt_1315,"Elmo da Destreza de Elfo"
pt_1316,"Elmo do Vento"
pt_1317,"Elmo do Rei Átila"
pt_1318,"Gorro de Sauroner"
pt_1319,"Visão Noturna"
pt_1320,"Capuz do Cavaleiro Vermelho"
pt_1321,"Elmo de Couro de Novato"
pt_1322,"Gorro de Skuld"
pt_1323,"Bênção de Elmo"
pt_1324,"Elmo de Orc"
pt_1325,"Elmo de Couro de Elfo"
pt_1326,"Elmo da Infravisão"
pt_1327,"Gorro de Couro Adornado"
pt_1328,"Elmo Élfico de Constituição"
pt_1329,"Quepe de Endor"
pt_1330,"Elmo de Bran"
pt_1331,"Argola de Niviane"
pt_1332,Elmo
pt_1333,"Elmo de Osso"
pt_1334,"Asa Dourada da Formiga Rainha Gigante"
pt_1335,"Asa Prateada da Formiga Rainha Gigante"
pt_1336,"Manto de Anão"
pt_1337,"Manto da Terra"
pt_1338,"Manto de Mana"
pt_1339,"Manto da Resistência a Magia"
pt_1340,"Manto da Água"
pt_1341,"Manto do Vento"
pt_1342,"Manto da Proteção"
pt_1343,"Manto do Cavaleiro Vermelho"
pt_1344,"Manto Vermelho"
pt_1345,"Manto do Fogo"
pt_1346,"Manto de Orc"
pt_1347,"Manto de Elfo"
pt_1348,"Manto de Prata"
pt_1349,"Manto da Invisibilidade"
pt_1350,"Manto do Deslocamento"
pt_1351,"Manto Impermeável"
pt_1352,"Camiseta de novato"
pt_1353,Camiseta
pt_1354,"Armadura de Couro"
pt_1355,"Colete de Couro"
pt_1356,"Malha de Placas de Ferro"
pt_1357,"Cota de Malha"
pt_1358,"Armadura de Madeira"
pt_1359,"Armadura do Cavaleiro da Morte"
pt_1360,"Loriga Segmentada"
pt_1361,"Cota Encadeada de Resistência a Magia"
pt_1362,"Trajes de Bruxo"
pt_1363,"Túnica de Algodão"
pt_1364,"Cota de Talas"
pt_1365,"Armadura de Baphomet"
pt_1366,"Armadura do Rei Átila"
pt_1367,"Colete de Couro com Cinto"
pt_1368,"Malha de Escamas"
pt_1369,"Armadura de Osso"
pt_1370,"Cota Encadeada"
pt_1371,"Armadura de Couro de Novato"
pt_1372,"Malha de Placas de Cristal"
pt_1373,"Cota de Malha de Orc"
pt_1374,"Cota Encadeada de Orc"
pt_1375,"Cota Encadeada de Elfo"
pt_1376,"Malha de Placas de Elfo"
pt_1377,"Armadura Élfica de Tórax"
pt_1378,"Colete de Couro Duro"
pt_1379,"Armadura de Couro Adornada"
pt_1380,"Colete de Couro Adornado"
pt_1381,"Malha de Placas de Bronze"
pt_1382,"Armadura de Bran"
pt_1383,"Túnica de Niviane"
pt_1384,"Malha de Placas"
pt_1385,"Luvas de Couro"
pt_1386,"Luvas de Ferro"
pt_1387,"Luvas do Cavaleiro da Morte"
pt_1388,"Luvas do Rei Átila"
pt_1389,"Luvas da Proteção"
pt_1390,"Luvas do Espírito da Água"
pt_1391,"Luvas de Couro de Novato"
pt_1392,"Luvas da Neve"
pt_1393,"Luvas de Cristal"
pt_1394,"Luvas do Espírito da Terra"
pt_1395,"Luvas do Espírito do Fogo"
pt_1396,Luvas
pt_1397,"Luvas de Bran"
pt_1398,"Luvas de Niviane"
pt_1399,"Luvas do Poder"
pt_1400,"Luvas do Espírito do Vento"
pt_1401,Braçadeira
pt_1402,"Botas de Couro"
pt_1403,"Sandálias de Couro"
pt_1404,"Botas de Ferro"
pt_1405,"Botas do Cavaleiro da Morte"
pt_1406,"Botas do Rei Átila"
pt_1407,"Botas de Beleth"
pt_1408,"Botas Altas"
pt_1409,"Sandálias de Couro de Novato"
pt_1410,"Botas Submarinas"
pt_1411,"Botas Baixas"
pt_1412,"Botas de Bran"
pt_1413,"Botas de Niviane"
pt_1414,"Sandálias do Ancião Negro"
pt_1415,"Escudo de Couro"
pt_1416,"Escudo de Ferro"
pt_1417,"Escudo de Osso"
pt_1418,"Escudo de Madeira"
pt_1419,"Escudo Redondo de Anão"
pt_1420,"Esfera de Cristal de Mana"
pt_1421,"Livro de Poderes Mágicos"
pt_1422,"Escudo da Reflexão"
pt_1423,"Escudo do Olho Vermelho"
pt_1424,"Escudo da Torre"
pt_1425,"Escudo de Couro de Novato"
pt_1426,"Escudo de Elfo"
pt_1427,"Escudo de Orc"
pt_1428,"Escudo do Cavaleiro Prateado"
pt_1429,"Escudo Pequeno"
pt_1430,"Escudo de Couro Adornado"
pt_1431,"Escudo Grande"
pt_1432,"Amuleto da Nova Camelot"
pt_1433,"Amuleto de Carisma Velho"
pt_1434,"Amuleto de Destreza Velho"
pt_1435,"Amuleto da Força Velho"
pt_1436,"Amuleto de Inteligência Velho"
pt_1437,"Amuleto da Sabedoria Velho"
pt_1438,"Amuleto da Constituição Velho"
pt_1439,"Amuleto de Carisma"
pt_1440,"Amuleto de Destreza"
pt_1441,"Amuleto da Ilha Prometida"
pt_1442,"Amuleto de Guerreiro"
pt_1443,"Amuleto da Força"
pt_1444,"Amuleto da Inteligência"
pt_1445,"Amuleto da Sabedoria"
pt_1446,"Amuleto da Constituição"
pt_1447,"Amuleto do Esqueleto"
pt_1448,"Anel da Imunidade a Magia"
pt_1449,"Anel de Controle de Polimorfo"
pt_1450,"Anel de Novato"
pt_1451,"Anel de Controle de Invocação"
pt_1452,"Anel de Resistência a Água"
pt_1453,"Anel de Controle de Teleporte"
pt_1454,"Anel de Resistência a Terra"
pt_1455,"Anel de Resistência a Vento"
pt_1456,"Anel da Resistência a Magia"
pt_1457,"Anel de Resistência a Fogo"
pt_1458,"Cinto de Corpo Velho"
pt_1459,"Cinto da Alma Velho"
pt_1460,"Cinto de Mente Velho"
pt_1461,"Cinto de Corpo Brilhante"
pt_1462,"Cinto da Alma Brilhante"
pt_1463,"Cinto da Mente Brilhante"
pt_1464,"Cinto de Corpo"
pt_1465,"Cinto da Alma"
pt_1466,"Cinto de Ogro"
pt_1467,"Cinto da Bravura"
pt_1468,"Cinto da Mente"
pt_1469,"Cinto de Troll"
pt_1470,"Jaqueta de Couro"
pt_1471,"Colar da Luz"
pt_1472,"Brincos da Resistência a Magia"
pt_1473,"Jaqueta de Madeira"
pt_1474,"Camiseta de Resistência Mágica"
pt_1475,"Amuleto de Carisma Velho"
pt_1476,"Amuleto de Destreza Velho"
pt_1477,"Amuleto da Força Velho"
pt_1478,"Amuleto de Inteligência Velho"
pt_1479,"Amuleto da Sabedoria Velho"
pt_1480,"Amuleto da Constituição Velho"
pt_1481,"Elmo Élfico da Destreza (Pessoal)"
pt_1482,"Elmo Élfico da Constituição (Pessoal)"
pt_1483,"Capuz do Cavaleiro Vermelho (Pessoal)"
pt_1484,"Elmo de Couro Élfico da Constituição (Pessoal)"
pt_1485,"Elmo de Couro Élfico da Destreza (Pessoal)"
pt_1486,"Capuz Manchado de Sangue (Pessoal)"
pt_1487,"Rainha Súcubo"
pt_1488,"Líder Troll"
pt_1489,"Líder Ettin"
pt_1490,"Líder Sombra Sangrenta"
pt_1491,"Aranha Assassina Gigante"
pt_1492,"Tenente Arqueiro Demoníaco"
pt_1493,"Brincos do Luar (Membros)"
pt_1494,"Brincos de Poeira Estelar"
pt_1495,"Brincos do Raio de Sol"
pt_1496,"Brincos do Protetor"
pt_1497,"Brincos do Herói"
pt_1498,"Brincos do Sábio"
pt_1499,"Lanceiro Dragônico"
pt_1500,"Lanceiro Dragônico de Elite"
pt_1501,"Espadachim Dragônico"
pt_1502,"Espadachim Dragônico de Elite"
pt_1503,"Dragão Uni"
pt_1504,"Dragão Terra"
pt_1505,"I"
pt_1506,"Ⅱ"
pt_1507,"Ⅲ"
pt_1508,"IV"
pt_1509,"Ⅴ"
pt_1510,"Ⅵ"
pt_1511,"Segredos de Edin"
pt_1512,"Servo [Estalagem]"
pt_1513,"Emissário dos Presentes"
pt_1514,"Bênção de Teon"
pt_1515,"Pedra de Runa da Fortuna"
pt_1516,"Presente de Convite"
pt_1517,"Presente Premium de Convite"
pt_1518,"Guia de Batalha do Caçador"
pt_1519,"Poção de Cura de Venenos Avançada"
