fr_0,"Client : %s Ressource : %u"
fr_587,"Sélectionnez d'abord un serveur !"
fr_588,Action
fr_589,"%s spawn [%s] %s"
fr_590,"Maison des consignations"
fr_591,"Le Serment cacheté (15 jours) sera décacheté au moment de l'achat. 360 heures seront ajoutées à sa durée."
fr_592,"Vous pouvez récupérer ou consigner à nouveau l'objet s'il n'a pas été vendu au bout de 6 heures."
fr_593,"*L'achat est irréversible. Veuillez bien vérifier le prix."
fr_594,"Restant %s"
fr_595,"Consigner à nouveau"
fr_596,Récupérer
fr_597,"Consigner l'objet"
fr_598,"Sélectionnez l'objet que vous voulez consigner."
fr_599,"En consignation"
fr_600,"Consignation expirée"
fr_601,Arme
fr_602,Armure
fr_603,Objet
fr_604,"Épée à une main"
fr_605,"Épée à deux mains"
fr_606,Gourdin
fr_607,Dague
fr_608,Bâton
fr_609,Arc
fr_610,Lance
fr_611,"Lance à une main"
fr_612,"Gourdin à deux mains"
fr_613,Heaume
fr_614,Armure
fr_615,Pourpoint
fr_616,Cape
fr_617,Gantelets
fr_618,Chaussures
fr_619,Bouclier
fr_620,Ceinture
fr_621,Collier
fr_622,Bague
fr_623,"Boucles d'oreille"
fr_624,Gantelets
fr_625,Flèche
fr_626,Bâton
fr_627,Gemme
fr_628,Potion
fr_629,Parchemin
fr_630,"Livre de sorts"
fr_631,Matériaux
fr_632,Autres
fr_633,"Prix à l'unité :"
fr_634,Quantité :
fr_635,"Trier par prix"
fr_636,Total
fr_637,"Quantité vendue"
fr_638,Revenus
fr_639,"Total des revenus :"
fr_640,"Tout récupérer"
fr_641,"Récupérer les revenus"
fr_642,"Ratio de consignation :"
fr_643,Vendu
fr_644,"Aucun résultat pour ces critères de recherche."
fr_645,Tout
fr_646,"Merci de patienter en attendant que la fenêtre pop-up de paiement s'affiche."
fr_647,"Vérification du paiement sur le serveur... Veuillez patienter."
fr_648,"Délai du traitement expiré. Veuillez contacter notre service client."
fr_649,"Échec de la vérification. Code erreur : %d."
fr_650,"Paiement vérifié. Veuillez consulter les informations."
fr_651,"Le système tentera de vérifier votre achat précédemment échoué (jusqu'à 3 fois) si vous réalisez un autre achat."
fr_652,"Échec de la finalisation du processus de paiement. Veuillez vérifier l'état de votre compte lié."
fr_653,"*La consignation est irréversible. Veuillez bien vérifier le prix."
fr_654,"Ensemble d'armure"
fr_655,"Liez d'abord votre compte avant d'effectuer un paiement."
fr_656,"Bannière de guerre"
fr_657,"Choisissez un nom pour votre bannière de guerre.""
fr_658,"Modifier la bannière de guerre"
fr_659,"1. Choisissez un modèle de bannière de guerre et donnez-lui un nom. Ce nom doit être unique. \n2. Le prix des bannières varie selon leur style. \n3. Chaque clan n'a qu'une seule opportunité de définir sa bannière. Une fois établie, une bannière ne peut être changée."
fr_660,"En recherche de votre historique d'abonnement"
fr_661,"Abonnement bien retrouvé"
fr_662,"Impossible de trouver un historique d'abonnement"
fr_663,"Votre période d'abonnement a déjà expiré"
fr_664,Utilisation
fr_665,Costume
fr_666,Racheter
fr_667,Cadre
fr_668,"Par défaut"
fr_669,Arrière-plan
fr_670,Personnage
fr_671,Effet
fr_672,"Teintures insuffisantes"
fr_673,Durée
fr_674,"L'aperçu ne peut pas être enregistré. Vous avez déjà utilisé un costume dans cet emplacement."
fr_675,"Vous ne pouvez pas utiliser la même combinaison d'arrière-plan, de personnage et d'effet deux fois."
fr_676,"Exclusif aux membres"
fr_677,"Utiliser ce costume dans l'emplacement %hhu coûtera %d teintures. Continuer ? "
fr_678,"1. Les teintures magiques permettent d'utiliser différentes combinaisons de costumes pour différentes durées.\n2. Les teintures magiques spéciales permettent d'utiliser des combinaisons spécifiques de costumes spécifiques.\n3. Chaque personnage possède 3 emplacements de costumes. Le costume par défaut ne peut pas être modifié"
fr_679,"Arrière-plan %hhu, Personnage %hhu, Effet %hhu"
fr_680,"Durée : %hhu jours"
fr_681,"L'aperçu est enregistré."
fr_682,"Bien utilisé"
fr_683,Confirmation
fr_684,"Teintures insuffisantes"
fr_685,"Durée : %hhu jours"
fr_686,"Utiliser le cadre n° %hhu coûtera %d teintures. Continuer ?"
fr_687,"Infos du perso"
fr_688,"Infos du perso"
fr_689,Costume
fr_690,Sauvegarder
fr_691,Racheter
fr_692,Prochain
fr_693,Précédent
fr_694,"Heure d'expiration"
fr_695,R
fr_696,C
fr_697,M
fr_698,E
fr_699,"Teinture magique"
fr_700,"Costume par défaut"
fr_701,"\f2 Vous avez reçu %s"
fr_702,Tirage
fr_703,"Verrouiller les raccourcis"
fr_704,NPC
fr_705,Cancel
fr_706,"Exclusif aux membres"
fr_707,"Profil de l'équipe"
fr_708,"Veuillez vous connecter à un compte enregistré avant de vous abonner."
fr_709,"Vous jouez comme invité. Veuillez créer un compte avant de vous abonner."
fr_710,訂單ID已被使用
fr_711,會員訂單ID已被其他遊戲帳號綁定
fr_712,切換攻擊者:
fr_713,MultiTouch:
fr_714,切換快捷鍵:
fr_715,您未擁有誓約書，不能使用第二套快捷鍵
fr_716,顯示等級:
fr_717,帳號倉庫
fr_718,"Entrepôt du clan"
fr_719,綁定倉庫
fr_720,"Vous avez été déconnecté."
fr_721,Reconnectez
