en_0,"Client: %s Resource: %u"
en_900,"\f=会员订阅须知：\n订阅会员按月付费，订阅会员可获得誓约书，誓约书是玩家在伊丁大陆通行的唯一凭证。\n(订阅会员之前，请您确认以下讯息，避免造成损失)\n1.您将订阅会员的帐户：%s \n2.会员每月40元，按月付费，每月自动续费。\n3.首次订阅会员免费试用3天。试用期内可随时取消订阅，但请注意：取消订阅将视为自动放弃剩余试用时间。\n4.若您重新安装伊丁天堂，选择恢复帐户，即可自动恢复已订阅的会员服务。\n5.取消订阅：在会员到期前24小时外，您可在 App Store > 账号设定 > 订阅项目，管理或取消"伊丁天堂-会员"的订阅，退订从下一月周期生效，当月期间不能退订。\n6.若您未在会员到期前24小时退订，则视为自动续订下一月周期，并将会收到续订通知，续订费用将从您的 iTunes 帐号内收取。\n"
en_901,"Sealed Oath [15 Days] \n1. Cost NTD180 (+/- 6 USD), for each purchase. \n2. Sealed Oath [15 Days] applies to all servers under the same account. \n3. Players will receive an oath which last for 15 days upon purchasing (not considered as membership) \n4. The duration of Sealed Oath [15 Days] can be stack. \n"
en_902,"誓约书是玩家在伊丁大陆通行的唯一凭证。\n誓约书获得方式：\n1.购买并使用被封印的誓约书[15天]，获得15天时效的誓约书。\n3.活动或限时赠与的免费誓约书。\n注意：不同类别的誓约书共存时，会同时消耗，不可相互叠加时效，同类别的誓约书可叠加时效。\n伊丁大陆划分：\n1.誓约书区域：古老隧道，马洛斯地区，自然之地（精灵园林、妖魔村、妖魔城堡），德雷克山岳，沙棘木及后续新增地图。\n2.非誓约书区域：试炼之地，应许之岛，应许之岛地监一层和二层。\n"
en_903,"%s，Do you want to purchase Sealed Oath [15 Days] ? \n(Please read the information below before you proceed)  \n1. Cost NTD180 (+/- 6 USD), for each purchase. \n2. Sealed Oath [15 Days] applies to all servers under the same account. \n3. Players will receive an oath which last for 15 days upon purchasing (not considered as membership). \n"
en_904,"In order to thank the first users who have entered Teon, the Goddess of Teon have provide free oath to enter The Land of Edin. \nGoddess of Teon only gives Written Oath [10 Years] for those who are kind hearted, the system will retrieve Written Oath [10 Years] back if the player violate the rules and regulations. \nWritten Oath [10 Years] is a gift from our system and only applies once."
en_905,"Remaining: %d Days"
en_906,"Written Oath"
en_907,"Videos"
en_908,"Cancel"
en_909,"Not-tradable items cannot be discarded"
en_910,"Equipped items cannot be discarded"
en_911,"Permanently discard the following item(s)?"
en_912,"Dmg Direction"
en_913,"The process of extraction does not consume any data traffic, please wait"
en_914,"Updating patch client does not consume any data traffic, please wait"
en_915,"Suggest 5"
en_916,"Suggest 6"
en_917,"Advantages: High spell power and physical damage \nDisAdvantages: Low AC and magic resistance\n\n\fWWeapon Recommendation:\nStaff\f>\n\nTips: Semi-magic build, will perform physical damage most of the time, able to strengthen its magic ability during the late gameplay, encouraged to be good at both physical and magic damage."
en_918,"1. Your current level is %d, and you can reset [Initial stats point] and [Additional stats point]. \n2. [Initial stats point] consists of fixed points and free points, which are automatically assigned by the system when creating a character. According to the different classes of the character, the fixed points and free points assigned by the system are also different. When resetting [Initial stats point], fixed attribute points cannot be reset, only free attribute points can be reset. \n3. [Additional stats point] starts from Lv50. You can get 1 point for every 1 level, which is freely assigned by the player. When resetting [Additional stats point], players will be reassigned from point to point starting at Lv50 until reaching the current level. \n4. After [Reset stats point] is finally completed and the ""OK"" button is pressed, the reset will take effect immediately and cannot be reversed. The character will be re-upgraded to Lv%d based on the new [Initial stats point] and [Additional stats point]."
en_919,"\f3You are under protected state. You can't perform this operation until your character reaches Lv45."
en_920,"EXP"
en_921,"Auto switch"
en_922,"Remaining %d: %d: %d"
en_923,"My Assess"
en_924,"Enemy Clan"
en_925,"Enemy Assess"
en_926,"End Time"
en_927,"History"
en_928,"\f3You can't purchase again"
en_929,"\f3Unidentified items cannot be enchanted."
en_930,"\f=Please input the Scroll of Enchant to be used"
en_931,"Enhancement level ≥ Safe enhancement level \nFail enhancement will break the equipment"
en_932,"Enhancement level ≥ Safe enhancement level \nFail enhancement will reset the enhancement level"
en_933,"Enhancement level ≥ Safe enhancement level \nFail enhancement will reduce the enhancement level"
en_934,"\f=Please input the weapon to be enhanced"
en_935,"\f=Please input the armor to be enhanced"
en_936,"\f=Please input the accessory to be enhanced"
en_937,"Enchant"
en_938,"Discard"
en_939,"Map System"
en_940,"Please press OK to authorize WeChat account to log in to the game. After the authorization is successful, the game will restart."
en_941,"Price: "
en_942,"\f3The target is in safe zone and cannot be attack"
en_943,"\f=Please input the Scroll of Protection to be used"
en_944,"\f=Can only be use for equipment with an enhancement level equal or greater than the safe enchant level"
en_945,"\f=You still have additional stats point remaining, please assign first"
en_946,"\f=The equipment has reached the limit of the enhancement level"
en_947,"\f=Only for weapons with an enhancement level of 12 or less"
en_948,"Discharge"
en_949,"Wechat login information has expired, please re-authorize login."
en_950,"\f3 does not turn on PK, cannot perform an attack"
en_951,"\fKMelee Hit"
en_952,"\fKRanged Hit"
en_953,"\fKAvoid"
en_954,"\fKMov Spd"
en_955,"\fKAtk Spd"
en_956,"\fKBlind Res"
en_957,"\fKPara Res"
en_958,"\fKSilence Res"
en_959,"\fKPoison Res"
en_960,"\fKStun Res"
en_961,"\fKFreeze Res"
en_962,"\f>%sSilence Res: %+d\n"
en_963,"\f>%sPoison Res: %+d\n"
en_964,"Equipped items cannot be enhance"
en_965,"Account"
en_966,"Guest"
en_967,"Google"
en_968,"Please select login method"
en_969,"Reselect Server"
en_970,"The current server queue number: \\f3%d\\f>, it is recommended that you choose another server."
en_971,"%sHealing Ability: %+d\n"
en_972,"\3Insufficient Gold"
en_973,"Blemish Luxuries"
en_974,"Weapon"
en_975,"Armor"
en_976,"Accessory"
en_977,"\f3You do not have permission to perform this operation"
en_978,"Crusade Mode"
en_979,"\f3Cannot attack team member"
en_980,"\f3Cannot attack clan member"
en_981,"Common Spells"
en_982,"Royal Class Spells"
en_983,"Knight Class Spells"
en_984,"Elf Class Spells"
en_985,"Mage Class Spells"
en_986,"Spell I"
en_987,"Spell II"
en_988,"Spell III"
en_989,"Spell IV"
en_990,"Spell V"
en_991,"Spell VI"
en_992,"Secret I"
en_993,"Secret II"
en_994,"Secret III"
en_995,"Secret IV"
en_996,"Secret V"
en_997,"Secret VI"
en_998,"Ability I"
en_999,"Ability II"
en_1000,"Ability III"
en_1001,"Ability IV"
en_1002,"Ability V"
en_1003,"Ability VI"
en_1004,"You can replay the tutorial videos by accessing the walkthrough video option on the main screen"
en_1005,"Input character name"
en_1006,"Input clan name"
en_1007,"Input warflag name"
en_1008,"Purification Potion"
en_1009,"Weapon Purification Potion"
en_1010,"Level 1"
en_1011,"Level 2"
en_1012,"Level 3"
en_1013,"Level 4"
en_1014,"Armor Purification Potion"
en_1015,"Level 1"
en_1016,"Level 2"
en_1017,"Level 3"
en_1018,"Level 4"
en_1019,"Accessory Purification Potion"
en_1020,"Level 1"
en_1021,"Level 2"
en_1022,"Level 3"
en_1023,"Level 4"
en_1024,"Crafting Materials"
en_1025,"Metal"
en_1026,"Silver"
en_1027,"Mithril"
en_1028,"Iron"
en_1029,"Gold"
en_1030,"Orichalcum"
en_1031,"Other Metals"
en_1032,"Magic Stones"
en_1033,"Broken Gem"
en_1034,"Quality Gem"
en_1035,"High Quality Gem"
en_1036,"Other Gems"
en_1037,"Animal Materials"
en_1038,"Bone"
en_1039,"Fur"
en_1040,"Wings"
en_1041,"Venom"
en_1042,"Meat"
en_1043,"Plant Materials"
en_1044,"Totem"
en_1045,"Branch"
en_1046,"Leather"
en_1047,"Other Materials"
en_1048,"HP Regen"
en_1049,"MP Regen"
en_1050,"Speed Potions"
en_1051,"Other Supplies"
en_1052,"Scrolls"
en_1053,"Enhance Scrolls"
en_1054,"Teleport Scrolls"
en_1055,"Other Scrolls"
en_1056,"Polymorph"
en_1057,"Polymorph Scrolls"
en_1058,"Level 1 Polymorph Scrolls"
en_1059,"Level 2 Polymorph Scrolls"
en_1060,"Level 3 Polymorph Scrolls"
en_1061,"Advanced Polymorph Scrolls"
en_1062,"Special Polymorph Scrolls"
en_1063,"Magic Scrolls"
en_1064,"Essence"
en_1065,"Spell Materials"
en_1066,"Spell Consumption"
en_1067,"Elements"
en_1068,"Summon Wand"
en_1069,"Spell Wand"
en_1070,"Polymorph Wand"
en_1071,"Expel Wand"
en_1072,"Treasure Map"
en_1073,"Treasure Map Piece"
en_1074,"Treasure Map Piece 1"
en_1075,"Treasure Map Piece 2"
en_1076,"Treasure Map Piece 3"
en_1077,"Treasure Map Piece 4"
en_1078,"Event Items"
en_1079,"Current Event Items"
en_1080,"Arrows"
en_1081,"Silver Arrow"
en_1082,"Mithril Arrow"
en_1083,"Your account has 4 characters in the servers. You can't create a new character."
en_1084,"Normal Mode: "
en_1085,"Voice Mode: "
en_1086,"Cannot exceed more than 180 items"
en_1087,"Team Voice"
en_1088,"Voice"
en_1089,"Open"
en_1090,"Close"
en_1091,"Buy"
en_1092,"Team List"
en_1093,"Volume Settings"
en_1094,"Exit Voice"
en_1095,"You have entered the team voice channel, time remaining: %02u: %02u"
en_1096,"\f3 has not joined the team, cannot use voice"
en_1097,"\fW team voice function needs to enable microphone permission, please allow microphone permission in device settings"
en_1098,"\f3 has not joined the team, cannot generate team member name list"
en_1099,"Voice Settings"
en_1100,"Microphone"
en_1101,"Speaker"
en_1102,"The server is under maintaince, expected activate time: %s"
en_1103,"Please input the same kind of equipment to the [Target Equipment] and [Material Equipment] boxes."
en_1104,"The [Material Equipment] enchant level should be higher than the safe enchant level"
en_1105,"The target equipment and material equipment belong to different category"
en_1106,"The minimum level requirement of your target equipment is lower than material equipment: Level %d"
en_1107,"The material equipment that you selected has no minimum level requirement, the target equipment minimum level requirement cannot exceed: Level %d"
en_1108,"The [Mutation Result] enchantment level will become lower than or equal to the [Material Equipment]'s enchantment level and will turn into a bonded item."
en_1109,"There are unsaved equipments, cannot exit"
en_1110,"Equipment Mutation Rules"
en_1111,"Mutation Method: "
en_1112,"1. The player drags [Target Equipment] and [Material Equipment] from the backpack to the corresponding fields. \n\n2. [Target Equipment] and [Material Equipment] must meet the following conditions to be mutated: \n 1) [Target Equipment] and [Material Equipment] must be of the same type. \n 2) [Target Equipment] and [Material Equipment] must be equipment generated by equipment crafting or recasting. \n 3) The enchant level of [Target Equipment] and [Material Equipment] must be greater than or equal to the stability value. \n 4) The minimum usage level of [Target Equipment] cannot be higher than the minimum usage level of [Material Equipment] 20 levels. \n 5) If [Material Equipment] has no minimum usage level, the minimum usage level of [Target Equipment] cannot exceed Lv52. \n\n3. According to the minimum usage level and enchant level of the selected [Target Equipment] and [Material Equipment], the gold coins required for Fusion Mutation will be displayed. \n\n4. Click Fusion Mutation, the corresponding gold coins will be consumed, and the Mutation result will be generated in the [Mutation Result] column. \n\n5. The enchant level of [Mutation Result] must be a level between [Target equipment] enchant level and [Material equipment] enchant level. \n\n6. The smaller difference between [Target Equipment] and [Material Equipment] is, the higher probability of perfect Fusion Mutation will be. \n\n7. Players can choose one of [Target Equipment], [Material Equipment] and [Mutation Result] to save. The other two will be discarded and cannot be withdrawn. \n\n8. The equipment that is the result of Fusion Mutation cannot be used as the [Target equipment] to participate in the Mutation again. However, it can be used as [Target equipment] after using enchant scroll to change its level (if the level is ±0, it does not count as a level change)."
en_1113,"\fWpackage equipment"
en_1114,"\fWmutation"
en_1115,"Material Equipment"
en_1116,"Equipment to transfer enchant"
en_1117,"Target Equipment"
en_1118,"Equipment to mutate enchant"
en_1119,"Mutation Result"
en_1120,"Mutation"
en_1121,"Keep"
en_1122,"Please select the equipment you want to preserve, then click on Keep button to save"
en_1123,"Save Success"
en_1124,"Claim Reward"
en_1125,"Redeem"
en_1126,"Lottery"
en_1127,"Please input [Material Equipment]"
en_1128,"Please input [Target Equipment]"
en_1129,"Please confirm the equipment to be mutated: \nMaterial Equipment: %s\nTarget Equipment: %s\n\f= [Mutation Result] will inherits Target Equipment's enchantment level \nand will turn into bound item."
en_1130,"Fusion Mutation"
en_1131,"Saved"
en_1132,"\f=confirm the saved result, \nit will give up the other two and can not withdrawn."
en_1133,"Gold Consumption"
en_1134,"\f3Insufficient points, redeeming requires %u points"
en_1135,"Points"
en_1136,"Audio"
en_1137,"System"
en_1138,"Resolution"
en_1139,"Not available"
en_1140,"Confirm"
en_1141,"Release"
en_1142,"Please select the FAQ from the left"
en_1143,"UI"
en_1144,"\f21.1 Status"
en_1145,"\f21.2 How to Play"
en_1146,"Game System"
en_1147,"\f22.1 Equipment Crafting"
en_1148,"\f22.2 Enchant"
en_1149,"\f22.3 PK"
en_1150,"\f22.3 Clan"
en_1151,"\f22.4 Clan War"
en_1152,"\f22.5 Polymorph"
en_1153,"\f22.6 Trade"
en_1154,"\f22.7 Social"
en_1155,"\f22.8 Teleportation"
en_1156,"\f22.9 Lawful Value"
en_1157,"\f22.10 Death Penalty"
en_1158,"Rules & Regulations"
en_1159,"Contact Us"
en_1160,"About"
en_1161,"Or above"
en_1162,"The [Target Equipment] enchant level should be higher than the safe enchant level."
en_1163,"The difference between the selected [Material Equipment] and [Target Equipment] enhancement level must be greater than or equal to 0, and less than or equal to %d."
en_1164,"Unable to switch equipment in this area"
en_1165,"Equipment obtained from the enchant mutation cannot be use again as [Target Equipment]."
en_1166,"\f3Unable to Mutate as [Target Equipment]\n"
en_1167,"Display"
en_1168,"VFX"
en_1169,"\fKEnter msg"
en_1170,"\fKSend msg to[%s]"
en_1171,"Shout"
en_1172,"World"
en_1173,"PM"
en_1174,"Team"
en_1175,"Clan"
en_1176,"System"
en_1177,"Info"
en_1178,"\f9Info"
en_1179,"\fQInfo"
en_1180,"\fKCombat Record"
en_1181,"\f=%s \fDdodged your attack."
en_1182,"\fDYou attacked \f=%s \fD, causing \f=%d damage."
en_1183,"\fDYou attacked \f=%s \fD with your spell, causing \f=%d damage."
en_1184,"\fEYou are affected by \f=%s\fE."
en_1185,"\fEThe effect of \f=%s \fEfaded away."
en_1186,"\f=%s \fDwas affected by your \f=%s\fD."
en_1187,"\f=%s \fDresisted your \f=%s\fD."
en_1188,"\fCYou are affected by \f=%s\fC's \f=%s\fC."
en_1189,"\fCYou resisted \f=%s\fC's \f=%s\fC."
en_1190,"\f=%s\fB's cooldown is \f=%s seconds."
en_1191,"\f=%s\fB is now ready."
en_1192,"\f[%d times remaining"
en_1193,"\f[Insufficient play times."
en_1194,"Player"
en_1195,"Prize"
en_1196,"Time"
en_1197,"\f[Rules"
en_1198,"\f[Auto Take"
en_1199,"Total %d Gold"
en_1200,"You have received the following Red Pocket: "
en_1201,"\f[Gold"
en_1202,"\f[Activate All"
en_1203,"\f[Return"
en_1204,"\f[Activate Another"
en_1205,"\f[Red Pocket"
en_1206,"\f[Ladder of Fortune"
en_1207,"\f[Rich List"
en_1208,"\f[Pool"
en_1209,"\f[Rules"
en_1210,"1.Select different price, click [Start] button to begin. \n\n2. When the XXX is falling, adventures need to click them directly and collect nine XXX at most. \n\n3. Adventures can click [Collect All] button to skip it and system will automatic collect nine xxx for adventures. \n\n4. Adventure can open xxx manually or click [Open All] to open all the xxx at once. \n\n5. If adventure turn off the game or disconnect after he pay, the award will automatic put in his bag without notice."
en_1211,"\f[Start"
en_1212,"\fKLv Hp Limit"
en_1213,"\fKLv Mp Limit"
en_1214,"Hp Upper Limit"
en_1215,"Mp Upper Limit"
en_1216,"红包"
en_1217,"来自%s的红包"
en_1218,"发红包"
en_1219,"发红包纪录"
en_1220,"收红包纪录"
en_1221,"好友红包"
en_1222,"世界红包"
en_1223,"血盟红包"
en_1224,"队伍红包"
en_1225,"类型:"
en_1226,"个数:"
en_1227,"金额:"
en_1228,"总额:"
en_1229,"寄语:"
en_1230,"对象:"
en_1231,"随机"
en_1232,"均等"
en_1233,"\f21.1 Character Info"
en_1234,"\f21.2 Gaming Time"
en_1235,"\f21.3 Buff"
en_1236,"\f21.4 Character Menu"
en_1237,"\f21.5 Interactive Menu"
en_1238,"\f21.6 Common Operation"
en_1239,"\f21.7 Hotkeys"
en_1240,"\f21.8 System Info"
en_1241,"\f21.9 Map"
en_1242,"\f21.10 Video Walkthroughs"
en_1243,"\f21.10 Chat Window"
en_1244,"\f21.11 Mall"
en_1245,"\f22.1 Social"
en_1246,"\f22.2 Trade"
en_1247,"\f22.3 Equipment"
en_1248,"\f22.4 Equipment Enchant"
en_1249,"\f22.6 Lawful"
en_1250,"\f22.7 Combat"
en_1251,"\f22.8 Clan"
en_1252,"\f22.9 Item Status"
en_1253,"\f22.10 Polymorph"
en_1254,"\f22.11 Teleportation"
en_1255,"Equipment Crafting [God Teon]"
en_1256,"\f2 Maros-Weapon"
en_1257,"\f23.1.1 Katana"
en_1258,"\f23.1.2 Damascus Sword"
en_1259,"\f23.1.3 Silver Long Sword"
en_1260,"\f23.1.4 Casa Spear"
en_1261,"\f23.1.5 Dwarvish Axe"
en_1262,"\f23.1.6 Staff of Mana"
en_1263,"\f23.1.7 Bard Dagger"
en_1264,"\f23.1.8 Cross Bow"
en_1265,"\f2 Maros-Equipment"
en_1266,"\f23.2.1 Studded Leather Cap"
en_1267,"\f23.2.2 Knight Visor"
en_1268,"\f23.2.3 Balaar's Helm"
en_1269,"\f23.2.4 Oilskin Cloak"
en_1270,"\f23.2.5 Cloak of Mithril Ornamentation"
en_1271,"\f23.2.6 Cloak of Crimson Ornamentation"
en_1272,"\f23.2.7 Cloak of Protection"
en_1273,"\f23.2.8 Shirt"
en_1274,"\f23.2.9 Soft Leather Armor"
en_1275,"\f23.2.10 Castel Chain Mail"
en_1276,"\f23.2.11 HP Glove"
en_1277,"\f23.2.12 MP Glove"
en_1278,"\f23.2.13 Soft Leather Boots"
en_1279,"\f23.2.14 Low Boots"
en_1280,"\f23.2.15 Long Boots"
en_1281,"\f23.2.16 Small Shield"
en_1282,"\f23.2.17 Tower Shield"
en_1283,"\f23.2.18 Amulet of Lia"
en_1284,"\f23.2.19 Old Belt of Vitality"
en_1285,"\f23.2.20 Old Belt of Energy"
en_1286,"\f23.2.21 Old Belt of Magic Power"
en_1287,"红包规则\n1、四种红包途径\n\n1）好友红包\n给指定好友发红包，可选择「好友红包」进行发送；\n发送时，好友必须在线；\n红包金额范围为5000金币至1000万金币；\n每次只能给1个好友发红包，如需给多个好友派发红包，可分多次发送。\n\n2）队伍红包\n给当前队伍成员发红包，可选择「队伍红包」进行发送；\n发送时，自己需处于组队状态；\n红包金额范围为5万金币至2000万金币；\n红包个数范围为1至8个；\n每个「队伍红包」系统将收取2%手续费，费用将在红包总金额中扣取。\n\n3）血盟红包\n给所在血盟的成员发红包，可选择「血盟红包」进行发送；\n发送时，需已加入血盟；\n红包金额范围为10万金币至5000万金币；\n红包个数范围为10个至50个；\n每个「血盟红包」系统将收取3%手续费，费用将在红包总金额中扣取。\n\n4）世界红包\n给伊丁天堂世界大众发红包，可选择「世界红包」进行发送；\n红包金额范围为50万金币至1亿金币；\n红包个数范围为20个至200个；\n每个「世界红包」系统收取4%手续费，费用将在红包总金额中扣取。\n\n2、均等红包与随机红包\n\n1）均等红包\n总金额平分到每个红包中，每个红包可获得的金币数将相同；\n\n2）随机红包\n总金额由全部红包随机分配，每个红包可获得的金币数随机，可能不相同。\n\n3、红包的接收与领取\n\n1）红包接收者需红包发出时在线并在离线前领取红包，一旦离线将失去领取该红包的资格；\n\n2）好友红包自己不可领取；\n\n3）队伍红包、血盟红包和世界红包，自己也可领取；\n\n4）红包个数有限，先领先得，领完即止。\n\n4、红包的超时处理\n\n1）收红包记录保留时间为红包发出后的12小时，仅保留当次在线获得领取资格的红包和已领取的红包，离线前未领取的红包将丧失领取资格，无法再领取，请在保留时间内且离线前及时领取，以免超时或离线红包消失无法领取；\n\n2）发红包记录保留时间共24小时，红包发出的12小时后，剩余未被领取的金币可被发红包者领回，24小时后，该发红包记录将超时消失，无论是否已领回剩余金币，均无法再领回，请及时领回。"
en_1288,"请选择收红包的好友"
en_1289,"请输入红包个数（1）"
en_1290,"请输入红包金额（5仟~1000万）"
en_1291,"请输入9字内寄语"
en_1292,"请输入红包个数（1~8）"
en_1293,"请输入红包金额（5万~2000万）"
en_1294,"请输入红包个数（10~50）"
en_1295,"请输入红包金额（10万~5000万）"
en_1296,"请输入红包个数（20~200）"
en_1297,"请输入红包金额（50万~1亿）"
en_1298,"恭喜发财，万事如意"
en_1299,"红包种类:%s\n\f=金额:%d"
en_1300,"红包种类:%s\n类型:%s\n个数:%d\n\f=金额:%d"
en_1301,"领回"
en_1302,"超时"
en_1303,"已开"
en_1304,"已领"
en_1305,"Color"
en_1306,"Near"
en_1307,"Cost \fW$2064\f> to select town"
en_1308,"%s\f>%sElement Enchant: %+d[\f=%d]\n"
en_1309,"%s\f2Elemental Speicial Efficacy: off\n"
en_1310,"%s\f>%sApocalyptic Energy: %d/1000\n"
en_1311,"%s\f>%sElemental Level: %+d\n"
en_1312,"%s\f2Element Fusible Weapon Level: %d\n"
en_1313,"Elem. Enchant"
en_1314,"Extract"
en_1315,"Fusion"
en_1316,"Elemental Speicial Efficacy"
en_1317,"Extracted Weapon"
en_1318,"Fusion Result"
en_1319,"Weapon Crystal"
en_1320,"Weapon"
en_1321,"Enchant"
en_1322,"Extract"
en_1323,"Fusion"
en_1324,"Confirm Speicial Efficacy"
en_1325,"Reached the maximum Element Enchant level"
en_1326,"\fW Choose the special efficacy of four element"
en_1327,"\f3Not Enough Gold"
en_1328,"\f3Not Enough Apocalyptic Source Crystal"
en_1329,"Place Weapon for Element Enchant"
en_1330,"Choose a Element"
en_1331,"Element Enchant succeeded. Weapon Element Enchant level +1"
en_1332,"Element Enchant failed. Luckily keep weapon Element Enchant level."
en_1333,"Element Enchant failed. Weapon Element Enchant-1"
en_1334,"Place Weapon for Element Extract"
en_1335,"Element Extract succeeded"
en_1336,"Place Weapon for Element Fusion"
en_1337,"Place Weapon Crystal for Element Fusion"
en_1338,"Element Fusion success"
en_1339,"This function is not available right now. Please wait for future update."
en_1340,"The weapon's enchanted element is differenet from the crystal element\nAre you sure to \f3give up\f> the original element and continue to enchant?\n\f=Wepaon: %s\nElement: %s"
en_1341,"Enchant"
en_1342,"The weapon's enchanted element is differenet from the crystal element\nAre you sure to \f3give up\f> the original element and continue to fusion?\n\f=Wepaon: %s\nElement: %s"
en_1343,"Fusion"
en_1344,"Rules of Element Enchant"
en_1345,"\f=1. Element Enchant\n\n\fWConditions And Materials\n\f>- Element Enchant can work on all weapons except the Trainee's series weapons or weapons gain from Trial Land\n- Enchant level on [Weapon] must reach the Safe Enchant level. \n- Processes consume elemental source crystal and gold. \n\fWBasic Rules\n\f>- Current maximum Element Enchant level: +2\n- Level, type and amounts of consuming elemental source crystal are related to Element Enchant level, e.g. if you want to enchant +0 to +1, Level 1 earth source crystal x2 should be needed. \n- When element enchant succeeded, Element Enchant level will +1. \n- When element enchant failed, Element Enchant level will be held, and the weapon will not be destroyed. \n- When using different element enchant(e.g. +2 water weapon and wind crystal chosen), it will replace the origin element and the weapon will be considered as enchanted from level +0. \n\fWElement Damage\n\f>- Dealing physical damage with additional element damage\n- Casting the same element spell with your weapon dealing additional element damage(e.g water type weapon and Cone of Cold)\n- Element Damage \nElement Enchant+1 : +1 element damage \nElement Enchant+2: +2 element damage \nElement Enchant+3: +4 element damage(Not able to Enchant yet) \nElement Enchant+4: +7 element damage(Not able to Enchant yet) \nElement Enchant+5: +11 element damage(Not able to Enchant yet)  \n\n\f=2. Extract Element \n\n\fWConditions And Materials\n\f>- The [Weapon] should have Element Enchant level. \n- Processes consume elemental source crystal and gold. \n\fWBasic Rules\n\f>- The consuming amounts and level of source crystal is related to the weapon element enchant category and level. \n- When extracting element, there is a chance of 80% to generate a [Weapon Source Crystal] with 1 level lower of Element Enchant level and a [Weapon] without element enchant will be generated. \n- If require to extract Element Enchant perfectly, check the [Perfect Extract] option, but it requires for extra corresponding source crystal and gold. \n- When extracting element with Perfect Extract, a [Weapon Source Crystal] with the same level as Element Enchant level and a [Weapon] without element enchant will be generated.  \n\n\f=3. Element Fusion \n\n\fWConditions And Materials\n\f>- Element Fusion can work on all weapons except the Trainee's series weapons or weapons gain from Trial Land\n- Enchant level on [Weapon] must reach the Safe Enchant level. \n- Element Weapon Source Crystal Lv1-2 are required. \n\fWBasic Rules\n\f>- Current maximum Element Enchant level: +2\n- Amounts of consuming gold are related to the level of [Weapon Source Crystal] for Element Fusion. \n- Element Fusion always succeeds, the fusion weapon can get the level as the weapon source crystal. \n- When using different element fusion(e.g. +2 water type weapon and Lv2 wind weapon source crystal), it will replace the origin enchanted element. \n- When using the same element fusion, the [Weapon Source Crystal] level should higher than [Weapon]'s Element Enchant level."
en_1346,"Requirement for weapon is limit to weapon getting from except Trial Land quests or Trainee's series"
en_1347,"The Element Enchant level should lower the Weapon Source Crystal level"
en_1348,"Perfect Extract"
en_1349,"Elem."
en_1350,"There's damage, you extracted \f3%s"
en_1351,"Equipment Enchant"
en_1352,"Weapon Enchant"
en_1353,"Armor Enchant"
en_1354,"Apocalyptic Source Crystal"
en_1355,"Apocalyptic Energy"
en_1356,"Accessory Enchant"
en_1357,"Other Scrolls"
en_1358," "
en_1359," "
en_1360,"Place Weapon"
en_1361,"Place Weapon Crystal"
en_1362,"\f3Apocalyptic Energy: %u/1000\n"
en_1363,"Others"
en_1364,"Trade Permit"
en_1365,"Team Permit"
en_1366,"\f3[Can not use]"
en_1367,"\f3[Eternal] equipment: It can not enchant, can not Element Enchant or mutated enchant. +0 equipment can sell for Gold to Maros Weapon/Armor Shop."
en_1368,"\f3[Eternal] properties: It can not use or trade. It can sell for Gold to Maros Property Shop or Spell Merchant."
en_1369,"Attention: \nCharacter will get to Lv.10 again and get new attributes according to origin setting. Extra attributes of Lv.50 to %d will be kept for redistribution."
en_1370,"Attention: \nCharacter will get to Lv.%d again and get new attributes according to above setting."
en_1371,"First Allocation"
en_1372,"Reincarnation"
en_1373,"Static timeout, please reconnect"
en_1374,"Offensive and Defensive forces"
en_1375,"Friendly Forces"
en_1376,"Enemy Troops"
en_1377,"Interal Affairs"
en_1378,"Toll Rate Setting"
en_1379,"Toll"
en_1380,"Toll Rate"
en_1381,"Modify"
en_1382,"Effecting"
en_1383,"Toll Amount"
en_1384,"Collect"
en_1385,"Defense"
en_1386,"Guard"
en_1387,"Hire"
en_1388,"City Gate"
en_1389,"Recovery"
en_1390," D "
en_1391," H "
en_1392," M "
en_1393," S "
en_1394,"\n\f>can be received after \f3%u%s"
en_1395,"Castle List"
en_1396,"Jurisdiction"
en_1397,"Declare a war"
en_1398,"During the war"
en_1399,"Gate Recover"
en_1400,"\f>The Gate is currently\f3broken\f>, \n\f>do you want to spend\fQ%u Gold\f>to recover the Gate Door to\f2sturdy\f>?"
en_1401,"Automatic close down will be happened after\f3%u\f> seconds."
en_1402,"Automatic resurrection will be effect in the nearby town after\f2%u\f> seconds"
en_1403,"Total Price Including Toll"
en_1404,"\f=Collect Rules\f>\n1. \n2. \n3. \n4. \n5. \n6."
en_1405,"Lv: %d-%d\n"
en_1406,"Lv: %d or above\n"
en_1407,"Lv: %d or below\n"
en_1408,"Damage: %d/%d [Small/Large]\n"
en_1409,"Armor Class: %d\n"
en_1410,"Nutrition: %d\n"
en_1411,"Cooling: %.1f seconds\n"
en_1412,"Lighing Range: %d\n"
en_1413,"Safe Enchant: %d\n"
en_1414,"Weight: %d\n"
en_1415,"Material: %s\n"
en_1416,"Type: Dual Hand\n"
en_1417,"Type: One Hand\n"
en_1418,"%sDamage: %+d\n"
en_1419,"%sHit: %+d\n"
en_1420,"\f3"
en_1421,"\f2Ranged Hit: %+d\n"
en_1422,"%sSpell Power: %+d\n"
en_1423,"%sMagic Resist: %+d\n"
en_1424,"%sMagic Damage: %+d\n"
en_1425,"%sMagic Hit: %+d\n"
