tw_0,客戶端版本:%s 資源版本:%u
tw_596,取回
tw_597,我要寄賣
tw_598,請選擇寄賣物品
tw_599,正在寄賣
tw_600,寄賣已超時
tw_601,武器
tw_602,防具
tw_603,道具
tw_604,單手劍
tw_605,雙手劍
tw_606,鈍器
tw_607,匕首
tw_608,杖
tw_609,弓
tw_610,矛
tw_611,單手矛
tw_612,雙手鈍器
tw_613,頭盔
tw_614,盔甲
tw_615,T恤
tw_616,斗篷
tw_617,手套
tw_618,鞋
tw_619,盾牌
tw_620,腰帶
tw_621,項錬
tw_622,戒指
tw_623,耳環
tw_624,臂甲
tw_625,箭矢
tw_626,魔杖
tw_627,寶石
tw_628,藥品
tw_629,卷軸
tw_630,魔法書
tw_631,材料
tw_632,其他
tw_633,"單價"
tw_634,"數量"
tw_635,價格排序
tw_636,總數
tw_637,已售數量
tw_638,收益
tw_639,總收益：
tw_640,一鍵提取
tw_641,領取收益
tw_642,寄賣比例：
tw_643,已出售
tw_644,搜尋不到你輸入的物品名稱
tw_645,全部
tw_646,請等待確認付費彈窗，勿進行任何操作
tw_647,正在與伺服器驗證付費結果，勿進行任何操作
tw_648,處理已超時，如有問題請聯繫客服
tw_649,伺服器驗證失敗，錯誤代碼:%d
tw_650,付費並驗證成功，請檢查
tw_651,再次付費操作會嘗試驗證上次失敗的交易(最多三次)
tw_652,無法進行付費流程，請檢查綁定帳號狀態
tw_653,* 請核對價格，寄賣後不可撤回。
tw_654,套裝 [%s] --- %s
tw_655,請先綁定帳號後再繼續付費
tw_656,血盟戰旗
tw_657,請為您的血盟戰旗設定旗號
tw_658,修改戰旗
tw_659,1.選戰旗造型，定旗號，旗號獨一無二（限制長度為一個中文字符或者兩個英文字符）。\n2.每款不同造型的戰旗各自有獨立的售價。\n3.每個血盟僅有一次設定戰旗的機會，選定戰旗後，不可更改。
tw_660,正在驗證您的會員訂閱紀錄，請稍等
tw_661,成功驗證會員訂閱紀錄
tw_662,沒有查詢到會員訂閱紀錄。如有問題，請聯繫客服
tw_663,您的會員訂閱已過期，請續費會員
tw_664,使用
tw_665,Teon秀
tw_666,兌換
tw_667,紋飾
tw_668,預設
tw_669,背景
tw_670,人物
tw_671,效果
tw_672,\f3所需消耗物品數量不足
tw_673,時長
tw_674,\f3無法在已兌換的欄位保存Teon秀
tw_675,\f3無法兌換已擁有的Teon秀組合
tw_676,\f3兌換失敗，你無法兌換會員專屬的Teon秀元素。
tw_677,將要在第 %hhu 欄兌換Teon秀，消耗 %d 件物品：
tw_678,"1.每个角色擁有有I、II、III欄位，I為預設Teon秀，不可更改。\n2.Teon秀由人物、背景、效果三種元素組合而成，每種元素的序號為1-10。\n3.帶*號的序號為會員專屬元素。\n4.兌換Teon秀需要消耗魔法染料，選擇的時長不同，則消耗的魔法染料數量不同。\n5.特殊魔法染料可以兌換固定組合的Teon秀。\n6.II,III欄目僅能保留一套Teon秀，若重複兌換，則會替換。\n7.“存儲”僅是存儲當前欄目的元素組合序號，並未生效，“兌換”成功才能讓Teon秀生效。"
tw_679,背景 %hhu，人物 %hhu，效果 %hhu
tw_680,持續時間：%hhu 天
tw_681,\f2存儲成功
tw_682,\f2兌換成功，Teon秀組合已生效
tw_683,確認兌換
tw_684,\f3所需消耗物品數量不足
tw_685,1.紋飾持續時間：%hhu 天。\n2.兌換紋飾需要消耗魔法染料。\n3.不可同時存在多種紋飾。\n4.重複多次兌換不可疊加有效時間，僅以最新有效期為准。
tw_686,將要兌換 %hhu 號紋飾，消耗 %d 件物品：
tw_687,玩家資料
tw_688,玩家資料
tw_689,Teon秀
tw_690,存儲
tw_691,兌換
tw_692,下一套
tw_693,上一套
tw_694,過期時間
tw_695,王
tw_696,騎
tw_697,法
tw_698,精
tw_699,魔法染料
tw_700,\f=預設造型，無需兌換
tw_701,\f2您獲得 %s
tw_702,福利
tw_703,鎖定快捷鍵：
tw_704,NPC坐標
tw_705,取消指引
tw_706,會員專屬
tw_707,隊員名片
tw_708,請登入已綁定的帳號，繼續會員訂閱流程
tw_709,錯誤：訂閱會員須先與遊戲內的永生者完成帳戶綁定
tw_710,訂單ID已被使用
tw_711,會員訂單ID已被其他遊戲帳號綁定
tw_712,受擊切換：
tw_713,多點觸控：
tw_714,切換快捷鍵：
tw_715,您未擁有誓約書，不能使用第二套快捷鍵
tw_716,顯示等級：
tw_717,帳號倉庫
tw_718,血盟倉庫
tw_719,角色倉庫
tw_720,與伺服器連線中斷，將重新建立連線: %u
tw_721,重新連線
tw_722,支持並評分
tw_723,反饋吐槽
tw_724,繼續體驗
tw_725,感謝您安裝並使用Teon，請問您在Teon內的體驗如何？
tw_726,進行中
tw_727,已完成
tw_728,邀請遊戲
tw_729,我的邀請鏈接
tw_730,複製
tw_731,分享
tw_732,邀請新玩家進行遊戲，當他（她）滿足一定條件你可獲得豐厚獎勵哦！
tw_733,獎勵規則——\n1.每個帳戶（邀請方）都有獨立的超鏈，邀請方通過自身的超鏈邀請新晉帳戶（受邀方）。\n2.受邀方達到特定的狀態時，邀請方可以獲得系統獎勵。\n3.邀請方可以同時邀請多個新晉帳戶。\n4.邀請方和受邀方必須同服，不可跨服跨平臺。\n5.受邀方的任意角色達到30，49，59等或者訂購會員時，邀請方獲得系統獎勵。\n6.邀請禮包I（30等）：終極治癒藥水*10，強化自我加速藥水*3。\n7.邀請禮包Ⅱ（49等）：破舊的高級變形卷軸*3\n8.邀請禮包Ⅲ（59等）：高級變形卷軸*3\n9.邀請月費禮包：對防具強化的卷軸*1，對武器強化的卷軸*1
tw_734,複製成功
tw_735,複製失敗
tw_736,%s\f=伊丁秘錄:%s\n
tw_737,任務列表
tw_738,循環任務
tw_739,可接
tw_740,不可接
tw_741,不可交
tw_742,可交
tw_743,能力分布
tw_744,屬性影響說明
tw_745,附近城鎮 | 原地復活 
tw_746,地圖
tw_747,請輸入坐標
tw_748,\f2你的位置
tw_749,區域
tw_750,世界
tw_751,NPC
tw_752,此區域沒有小地圖
tw_753,\f3請輸入正確的坐標格式
tw_754,\f3已超出地圖坐標
tw_755,\f2指引
tw_756,\f2傳送
tw_757,你所在區域的空間不穩定，無法使用路線指引功能。
tw_758,血盟
tw_759,敵對血盟：
tw_760,戰績：
tw_761,榮譽
tw_762,最後登入時間
tw_763,盟戰排行榜
tw_764,戰績
tw_765,總戰評
tw_766,戰榜
tw_767,戰帖
tw_768,請選擇將宣戰的血盟
tw_769,宣戰
tw_770,確定對%s宣戰嗎?
tw_771,投降
tw_772,休戰
tw_773,地圖暫未開放
tw_774,你所在區域的空間不穩定，無法確定位置
tw_775,添加
tw_776,刪除
tw_777,視頻攻略
tw_778,新手入門
tw_779,進階教學
tw_780,玩家視頻
tw_781,即將進入視頻教學
tw_782,視頻名稱：%s\n強烈推薦第一次玩本遊戲觀看，以後如果想繼續瞭解操作教學，請點擊視頻列表查看
tw_783,　跳過視頻　|　觀看教學　
tw_784,立即前往
tw_785,直接拒戰
tw_786,此裝備已有保護
tw_787,　替換　|　取消　
tw_788,受擊特效：
tw_789,"此裝備已有強力保護"
tw_790,"瞭解方位"
tw_791,"操作快捷鍵"
tw_792,"變形系統"
tw_793,"穿戴裝備"
tw_794,"攻擊怪物"
tw_795,"鑑定物品"
tw_796,"學習魔法"
tw_797,"強化裝備"
tw_798,"真的要丟棄%d個%s嗎?"
tw_799,類型
tw_800,到期時間
tw_801,無
tw_802,獎勵
tw_803,會員
tw_804,十年
tw_805,封印
tw_806,試用
tw_807,血盟名稱
tw_808,人數
tw_809,盟主名稱
tw_810,\f>%s魔傷：%+d\n
tw_811,賞金獵人
tw_812,獵人 :
tw_813,PK值 :
tw_814,賞金 :
tw_815,剩餘追獵次數:
tw_816,目標 :
tw_817,剩餘時間:
tw_818,放棄追獵
tw_819,追獵目標
tw_820,規則說明
tw_821,規則內容
tw_822,普通區
tw_823,冒險區
tw_824,"%s逃竄到%s(%d,%d),請在%d分鐘內追捕目標。"
tw_825,需要消耗%d本被封印的誓約書[15天]才能放監
tw_826,\f3因魔力不足而無法使用魔法。
tw_827,\f9訊 息
tw_828,\fQ訊 息
tw_829,\fC你閃避了 \f=%s \fC的攻擊
tw_830,\f=%s \fC攻擊了你，造成了 \f=%d點傷害
tw_831,\f=%s \fC使用魔法攻擊了你，造成了 \f=%d點傷害
tw_832,\f2鎖定狀態下不能強化
tw_833,近戰物攻
tw_834,遠程物攻
tw_835,魔法能力
tw_836,續航能力
tw_837,體能強度
tw_838,操作難度
tw_839,創建角色
tw_840,可以創建新角色
tw_841,"你處於受保護狀態，不可執行此操作，達到40級後將自動解除保護"
tw_842,"戰鬥"
tw_843,"快捷鍵"
tw_844,"重新開始"
tw_845,"返回選服"
tw_846,"離開遊戲"
tw_847,"確認關閉"
tw_848,"關閉後，你的屬性點將恢復至重置前的狀態。"
tw_849,"確定 | 取消"
tw_850,"\f=屬性點不能超過35"
tw_851,"\f=你還有初始屬性點剩餘，請先分配"
tw_852,"確認分配"
tw_853,"你確定這樣分配各項屬性嗎？"
tw_854,"初始屬性"
tw_855,"附加屬性"
tw_856,"屬性影響"
tw_857,"推薦簡介"
tw_858,"規  則"
tw_859,"配置初始屬性"
tw_860,"剩餘點數"
tw_861,"推薦方案"
tw_862,"推薦方案1"
tw_863,"推薦方案2"
tw_864,"推薦方案3"
tw_865,"推薦方案4"
tw_866,"配置附加屬性"
tw_867,"lv %d"
tw_868,"選擇屬性"
tw_869,"重置屬性"
tw_870,"角色生成時的點數對人物屬性的影響大於角色50等之後獲得的點數。\n一、角色生成時加點屬性的影響\n\n力量(Str)：力量影響負重與近距離物理攻擊\n敏捷(Dex)：敏捷影響防禦、遠程閃避及遠距離物理攻擊\n體質(Con)：體質影響負重量、角色升等級時所增加體力值及體力恢復量\n精神(Wis)：精神影響角色升等級時所增加魔力值及魔力恢復量、魔法防禦\n智力(Int)：智力影響施法成功機率、魔攻、及使用魔法時減少消耗的魔力\n毅力(Cha)：毅力影響召喚術、迷魅術、馴養寵物的所能攜帶數量，王族的毅力值對所能招收的血盟成員數量和自身的暴擊率也有影響\n\n二、角色50等獲得配點屬性的影響\n\n力量(Str)：力量影響負重與近距離物理攻擊\n敏捷(Dex)：敏捷影響遠程閃避及遠距離物理攻擊\n體質(Con)：體質影響負重量、角色升等級時所增加體力值及體力恢復量\n精神(Wis)：精神影響角色升等級時所增加魔力值及魔力恢復量、魔法防禦\n智力(Int)：智力影響施法成功機率、魔攻、及使用魔法時減少消耗的魔力\n毅力(Cha)：毅力影響召喚術、迷魅術、馴養寵物的所能攜帶數量，王族的毅力值對於所能招收的血盟成員數量有影響，額外毅力屬性(裝備／臨時狀態)不影響血盟成員數量，同時王族的毅力值對自身的暴擊率也有影響，50等後毅力配點對暴擊率的影響與角色生成時的毅力配點相關"
tw_871,"一、\fW配點\n\f>1.當角色首次達到35等時，可以配置[初始屬性]點數\n2.屬性加點變為紅色時為達到該屬性上限\n3.配點完成後，角色將根據配置好的點數重新升等到當前等級\n4.[初始屬性]點數配置對角色成長影響巨大，且不能輕易更改，請玩家慎重考慮\n\n二、\fW普通重置\n\f>1.角色在50等及以上，可使用[生命聖泉]，重置全部的[初始屬性]和[附加屬性]\n2.[初始屬性]和[附加屬性]配點完成後，角色將根據配置好的點數重新升等到當前等級\n3.不會重置使用道具(例如淬體藥水和煉魔藥水)獲得的額外體力和魔力。\n4.不會重置使用[萬能藥]獲得的屬性點數加成\n\n三、\fW輪迴\n\f>1.角色在50~80等，可使用[輪迴奧術]，重置全部的[初始屬性]和[附加屬性]并使角色回到10等\n2.[初始屬性]配點完成後，角色將根據配置好的點數重新升等到10等\n3.輪迴後的角色會擁有輪迴前等級的[附加屬性]點數，供自行分配(例如69等角色輪迴，回到10等後會擁有20點可分配點數)\n4.已進行過「聖光洗禮」的角色不可使用輪迴奧術重置屬性。\n5.不會重置使用道具(例如淬體藥水和煉魔藥水)獲得的額外體力和魔力。\n6.不會重置使用[萬能藥]獲得的屬性點數加成\n7.每次使用輪迴奧術後，將有7天的保護期，期間不可使用生命聖泉\n8.如在保護期內使用輪迴奧術，保護期將重新計算7天，但和已過的保護期合計為一個保護期週期\n9.一個保護期週期內使用輪迴奧術，如當前等級低於激活本週期時使用輪迴奧術時的等級，則重置50等至激活本週期時使用輪迴奧術時的等級的「附加屬性」；如當前等級高於激活本週期時使用輪迴奧術時的等級，則重置50等至當前等級的「附加屬性」"
tw_872,"優勢：體力超高\n不足：魔法防禦、物理防禦、物理攻擊能力較低\n發展：體盾型補助，依託超高體力，為血盟成員提供支援和鼓勵，唯一能建立血盟的角色。"
tw_873,"優勢：物理攻擊力超高\n不足：物理防禦、魔法防禦低\n發展：力量型補助，能成為戰士，也能為血盟成員提供支援和鼓勵，唯一能建立血盟的角色。"
tw_874,"優勢：體力和物理攻擊力較高\n不足：物理防禦、魔法防禦低\n發展：亞力量型補助，能為血盟成員提供支援和鼓勵，唯一能建立血盟的角色。"
tw_875,"優勢：物理暴擊機率高，血盟成員數高\n不足：體力較低，物理防禦、魔法防禦低\n發展：暴傷型補助，能成為戰士，也能為血盟成員提供支援和鼓勵，唯一能建立血盟的角色。"
tw_876,"優勢：魔法防禦高，恢復魔法速度快\n不足：體力較低，物理防禦低，攻擊能力低\n發展：魔抗型補助，依託超高魔抗，為血盟成員提供支援和鼓勵，唯一能建立血盟的角色。"
tw_877,"優勢：超高物理攻擊力\n不足：防禦較低，體力較少\n發展：前期練功快速，中期開始以來裝備成型，在裝備成型後，擁有強大的攻擊能力，承擔隊伍的核心攻擊。"
tw_878,"優勢：超高體力，負重能力強\n不足：防禦較低，物理攻擊力一般\n發展：前期練功速度較低，中期開始以來裝備成型，在裝備成型後，擁有超高體力，承擔隊伍的核心體盾。"
tw_879,"優勢：攻防兼備，擁有續航能力\n不足：十分依賴魔法頭盔:治癒\n發展：前期練功速度一般，成型較慢，成型後有不錯的續航能力和魔法防禦，適合單人練功。"
tw_880,"優勢：超高遠程攻擊能力和物理防禦\n不足：體力較少，魔法防禦一般\n發展：遠程射手，適合學習風元素魔法，後期可以繼續強化遠程攻擊能力或增加魔法能力或增加魔法防禦。"
tw_881,"優勢：魔法攻擊高。\n不足：魔法防禦、物理防禦、遠程攻擊能力一般\n發展：類魔法師，適合學習火、土、水元素魔法，更加傾向使用近戰攻擊配合魔法治療和傷害。"
tw_882,"優勢：體力超高\n不足：魔法防禦、物理防禦、遠程攻擊能力一般\n發展：萬能型射手，學習風元素魔法，強化遠程攻擊能力；學習火元素魔法，提升近戰攻擊能力；學習水、土元素魔法，提升續航能力。"
tw_883,"優勢：近戰攻擊兼備魔法攻擊\n不足：體力較少，魔法防禦、物理防禦、遠程攻擊能力一般\n發展：魔法戰士，適合學習火、土元素魔法，後期可以補強體力和防禦，但更加適合繼續深造近戰和魔法能力。"
tw_884,"優勢：遠程攻擊兼備魔法攻擊\n不足：體力較少，魔法防禦一般\n發展：平均型射手，適合學習風、土元素魔法，後期繼續加強魔法能力和遠程攻擊能力。"
tw_885,"優勢：魔法防禦高\n不足：物理防禦低，魔法能力低，遠程攻擊能力低。\n發展：魔法防禦型射手，學習風元素魔法，強化遠程攻擊能力；學習火元素魔法，提升近戰攻擊能力；學習水、土元素魔法，提升續航能力。"
tw_886,"優勢：魔法能力高，魔法防禦高，超高爆發能力\n不足：物理防禦低\n發展：傳統的魔法師，後期能繼續加強魔法能力，達到瞬間秒人，但請注意自保。 "
tw_887,"優勢：體力較高，魔法防禦較高\n不足：物理防禦低\n發展：捨棄了攻擊能力增加了生存能力，後期能繼續加強魔法能力，要善於搭配攻擊魔法和續航魔法。"
tw_888,"戰期:%s"
tw_889,"會員"
tw_890,"[未訂閱]"
tw_891,"被封印的誓約書[15天] "
tw_892,"十年誓約書[贈送] "
tw_893,"會員福利"
tw_894,"簡介"
tw_895,"須知"
tw_896,"確認購買"
tw_897,"免費獲得誓約書 | 會員誓約書僅在戰神服下全角色通用 | 寄賣物品，費用減少 | 可以穿戴會員專屬的特定裝備或特定裝飾 | 免費試用3天"
tw_898,"成功訂閱會員，可獲得誓約書，可進入誓約書區域。\n誓約書有效期與會員的到期期限一致。 | 會員誓約書僅在戰神服下的所有角色通用。 | 會員帳號在寄賣中心寄賣物品時，系統將減少部分手續費。 | 會員可以穿戴會員專屬的裝備：和平戒指、月輝耳環。 | 首次訂閱會員，免費試用3天。"
tw_899,"誓約書是玩家在伊丁大陸通行的唯一憑證。\n誓約書獲得方式：\n1.購買並使用被封印的誓約書[15天]，獲得15天時效的誓約書（非會員）。\n2.活動或限時贈與的免費誓約書。\n3.訂購每月會員服務，成為會員，獲得與會員時效同步的誓約書（每月自動續訂）[\f=溫馨提示：\f>該方式僅原會員訂閱用戶可續訂至自行取消時止，取消或查詢到期時間需自行通過應用商店-賬號設定-訂閱項目進行管理與查詢，若有疑問可聯繫客服獲取幫助]。\n注意：不同類別的誓約書共存時，同時消耗，不可相互疊加時效，同類別的誓約書可疊加時效。\n伊丁大陸劃分：\n1.誓約書區域：古老隧道，馬洛斯地區，自然之地（精靈園林、妖魔村、妖魔城堡），德雷克山嶽，沙棘木、水淩林、達特福德、火山地區（格劳龙火山、侏儒城堡）及後續新增地圖。\n2.非誓約書區域：試煉之地，應許之島，應許之島地監一層和二層。\n"
tw_900,"\f=會員訂閱須知：\n訂閱會員按月付費，訂閱會員可獲得誓約書，誓約書是玩家在伊丁大陸通行的唯一憑證。\n(訂閱會員之前，請您確認以下訊息，避免造成損失)\n1.您將訂閱會員的帳戶：%s \n2.會員每月NTD320（約USD10），按月付費，每月自動續費。\n3.首次訂閱會員免費試用3天。試用期內可隨時取消訂閱，但請注意：取消訂閱將視為自動放棄剩餘試用時間。\n4.若您重新安裝Teon，選擇恢復帳戶，即可自動恢復已訂閱的會員服務。\n5.取消訂閱：在會員到期前24小時外，您可在 App Store > 賬號設定 > 訂閱項目，管理或取消"Teon-會員"的訂閱，退訂從下一月週期生效，當月期間不能退訂。\n6.若您未在會員到期前24小時退訂，則視為自動續訂下一月週期，並將會收到續訂通知，續訂費用將從您的 iTunes 帳號內收取。\n"
tw_901,"被封印的誓約書[15天]\n1.每本NTD190（約USD6），一次性付費。\n2.被封印的誓約書[15天]僅適用於角色所在伺服器。\n3.被封印的誓約書[15天]使用後獲得15天時效的誓約書（非會員）。\n4.被封印的誓約書[15天]，可多次使用，疊加時效。\n"
tw_902,"誓約書是玩家在伊丁大陸通行的唯一憑證。\n誓約書獲得方式：\n1.購買並使用被封印的誓約書[15天]，獲得15天時效的誓約書（非會員）。\n2.活動或限時贈與的免費誓約書。\n3.訂購每月會員服務，成為會員，獲得與會員時效同步的誓約書（每月自動續訂）[\f=溫馨提示：\f>該方式僅原會員訂閱用戶可續訂至自行取消時止，取消或查詢到期時間需自行通過應用商店-賬號設定-訂閱項目進行管理與查詢，若有疑問可聯繫客服獲取幫助]。\n注意：不同類別的誓約書共存時，同時消耗，不可相互疊加時效，同類別的誓約書可疊加時效。\n伊丁大陸劃分：\n1.誓約書區域：古老隧道，馬洛斯地區，自然之地（精靈園林、妖魔村、妖魔城堡），德雷克山嶽，沙棘木、水淩林、達特福德、火山地區（格劳龙火山、侏儒城堡）及後續新增地圖。\n2.非誓約書區域：試煉之地，應許之島，應許之島地監一層和二層。\n"
tw_903,"%s，您想購買被封印的誓約書[15天]嗎？\n(確定之前，請您確認以下訊息，避免造成損失)\n1.每本NTD190（約USD6），一次性付費。\n2.被封印的誓約書[15天]僅適用於角色所在伺服器。\n3.被封印的誓約書[15天]使用後獲得15天時效的誓約書（非會員）。\n"
tw_904,"為感謝首批進入Teon的用戶，蒂安神與之簽訂免費通行伊丁大陸收費地圖的誓約書。\n蒂安神僅與純善之人簽訂十年誓約書，任何違反玩家守則的角色，系統將回收其帳號上的十年誓約書。\n十年誓約書是系統贈送，不可再獲得，可以自主選擇放棄。"
tw_905,"剩餘 %d 天"
tw_906,"誓約書"
tw_907,"視頻"
tw_908,"取消銷毀"
tw_909,"已鎖定物品不能銷毀"
tw_910,"已裝備物品不能銷毀"
tw_911,"你即將要銷毀的物品，確定後不可恢復"
tw_912,"受擊方向："
tw_913,"解壓過程不消耗流量，請耐心等待。"
tw_914,"更新補丁包過程不消耗流量，請耐心等待。"
tw_915,"推薦方案5"
tw_916,"推薦方案6"
tw_917,"優勢：魔法攻擊力、物理攻擊力都高\n不足：物理防禦、魔法防禦都低\n發展：魔法戰士，大部分時間近戰攻擊，後期能加強魔法能力，要善於利用物理攻擊和魔法攻擊。"
tw_918,"1. 你當前的等級為 %d 等，可重置[初始屬性]和[附加屬性]。\n2. [初始屬性]由固定屬性點和自由屬性點組成，在創建角色時由系統自動分配。根據角色職業的不同，系統分配的固定屬性點和自由屬性點也有不同。重置[初始屬性]時，固定屬性點不可重置，只可重置自由屬性點。\n3. [附加屬性]從角色50等開始，每升1等可獲1點，由玩家自由分配。重置[附加屬性]時，玩家將從50等開始逐等逐點重新分配，直至到達當前等級。\n4. [重置屬性]最終完成並按下“確定”鍵後，該次重置立即生效，不可逆轉。角色將根據新的[初始屬性]和[附加屬性]重新升等至 %d 等。"
tw_919,"\f3你處於受保護狀態，不可執行此操作，達到40級後將自動解除保護"
tw_920,"經驗"
tw_921,"自動切換："
tw_922,"剩餘 %d:%d:%d "
tw_923,"自己的戰評"
tw_924,"對方血盟"
tw_925,"對方的戰評"
tw_926,"結束時間"
tw_927,"歷史戰績"
tw_928,"\f3你不能重覆購買"
tw_929,"\f3未鑑定物品無法強化"
tw_930,"\f=請放入準備使用的強化卷軸"
tw_931,"強化等級≥安定值的裝備\n強化失敗會損壞裝備"
tw_932,"強化等級≥安定值的裝備\n強化失敗會清空强化等级"
tw_933,"強化等級≥安定值的裝備\n強化失敗會降低强化等级"
tw_934,"\f=請放入準備強化的武器"
tw_935,"\f=請放入準備強化的防具"
tw_936,"\f=請放入準備強化的飾品"
tw_937,"強化"
tw_938,"銷毀物品"
tw_939,"地圖系統"
tw_940,"請按確定授權微信賬號登錄游戲，授權成功後游戲將會重新啟動"
tw_941,"價格:"
tw_942,"\f3目標處於安全區域，不受攻擊"
tw_943,"\f=請放入準備使用的保護卷軸"
tw_944,"\f=只能對強化等級等於或大於安定值的裝備使用"
tw_945,"\f=你還有附加屬性點剩餘，請先分配"
tw_946,"\f=該裝備已達到強化等級上限"
tw_947,"\f=只能對強化等級13以下的武器使用"
tw_948,"釋放"
tw_949,"微信登錄信息已過期，請重新授權登錄。"
tw_950,"\f3未開啟PK，不可發動攻擊。"
tw_951,"\fK近戰命中"
tw_952,"\fK遠程命中"
tw_953,"\fK命中抵抗"
tw_954,"\fK移　　速"
tw_955,"\fK攻　　速"
tw_956,"\fK抵抗致盲"
tw_957,"\fK抵抗石化"
tw_958,"\fK抵抗沈默"
tw_959,"\fK抵抗中毒"
tw_960,"\fK抵抗眩暈"
tw_961,"\fK抵抗冰凍"
tw_962,"\f>%s沈默抵抗：%+d\n"
tw_963,"\f>%s中毒抵抗：%+d\n"
tw_964,"已裝備物品無法進行強化"
tw_965,"帳號登入"
tw_966,"遊客登入"
tw_967,"郵箱登入"
tw_968,"請選擇登入方式"
tw_969,"重選伺服器"
tw_970,"當前伺服器排隊人數：\\f3%d\\f>，建議您選擇其他伺服器."
tw_971,"%s治療能力：%+d\n"
tw_972,"\f3金幣不足"
tw_973,"瑕疵寶具"
tw_974,"武器"
tw_975,"防具"
tw_976,"飾品"
tw_977,"\f3您沒有權限執行此操作"
tw_978,"討伐模式"
tw_979,"\f3不可攻擊隊友"
tw_980,"\f3不可攻擊戰時盟友"
tw_981,"通用魔法"
tw_982,"王族職業秘典"
tw_983,"騎士職業戰技"
tw_984,"精靈職業魔法"
tw_985,"法師職業魔法"
tw_986,"魔法I"
tw_987,"魔法II"
tw_988,"魔法III"
tw_989,"魔法IV"
tw_990,"魔法V"
tw_991,"魔法VI"
tw_992,"秘典I"
tw_993,"秘典II"
tw_994,"秘典III"
tw_995,"秘典IV"
tw_996,"秘典V"
tw_997,"秘典VI"
tw_998,"戰技I"
tw_999,"戰技II"
tw_1000,"戰技III"
tw_1001,"戰技IV"
tw_1002,"戰技V"
tw_1003,"戰技VI"
tw_1004,"你可以在主界面-遊戲視頻中重新觀看此教學視頻 "
tw_1005,"請輸入角色名:"
tw_1006,"請輸入血盟名:"
tw_1007,"請輸入盟徽名:"
tw_1008,"淨化藥水"
tw_1009,"武器淨化藥水"
tw_1010,"一階"
tw_1011,"二階"
tw_1012,"三階"
tw_1013,"四階"
tw_1014,"防具淨化藥水"
tw_1015,"一階"
tw_1016,"二階"
tw_1017,"三階"
tw_1018,"四階"
tw_1019,"飾品淨化藥水"
tw_1020,"一階"
tw_1021,"二階"
tw_1022,"三階"
tw_1023,"四階"
tw_1024,"製作材料"
tw_1025,"金屬"
tw_1026,"銀"
tw_1027,"秘銀"
tw_1028,"鋼鐵"
tw_1029,"黃金"
tw_1030,"奧鋼"
tw_1031,"其他金屬"
tw_1032,"魔石"
tw_1033,"碎寶石"
tw_1034,"品質寶石"
tw_1035,"高品質寶石"
tw_1036,"其他寶石"
tw_1037,"動物材料"
tw_1038,"骨頭"
tw_1039,"毛皮"
tw_1040,"羽翼"
tw_1041,"毒液"
tw_1042,"血肉"
tw_1043,"植物材料"
tw_1044,"圖騰"
tw_1045,"樹枝"
tw_1046,"皮革"
tw_1047,"其他材料"
tw_1048,"體力恢復"
tw_1049,"魔力恢復"
tw_1050,"加速藥水"
tw_1051,"其他藥水"
tw_1052,"卷軸"
tw_1053,"強化卷軸"
tw_1054,"傳送卷軸"
tw_1055,"其他卷軸"
tw_1056,"變形"
tw_1057,"變形卷軸"
tw_1058,"一等變形卷軸"
tw_1059,"二等變形卷軸"
tw_1060,"三等變形卷軸"
tw_1061,"高級變形卷軸"
tw_1062,"特殊變形卷軸"
tw_1063,"魔化卷軸"
tw_1064,"精粹"
tw_1065,"魔法材料"
tw_1066,"魔法消耗"
tw_1067,"元素"
tw_1068,"創造怪物魔杖"
tw_1069,"閃電魔杖"
tw_1070,"變形魔杖"
tw_1071,"驅逐魔杖"
tw_1072,"藏寶圖"
tw_1073,"藏寶圖碎片"
tw_1074,"藏寶圖碎片1"
tw_1075,"藏寶圖碎片2"
tw_1076,"藏寶圖碎片3"
tw_1077,"藏寶圖碎片4"
tw_1078,"活動物品"
tw_1079,"當前活動物品"
tw_1080,"箭"
tw_1081,"銀箭"
tw_1082,"秘銀箭"
tw_1083,"帳號所在伺服器合併後超過4個角色的上限，不可再建立新角色"
tw_1084,"普通模式："
tw_1085,"語音模式："
tw_1086,"單次提取物品不可超過180種"
tw_1087,"隊伍語音"
tw_1088,"語音"
tw_1089,"開啟"
tw_1090,"關閉"
tw_1091,"購買"
tw_1092,"隊員列表"
tw_1093,"音量設置"
tw_1094,"退出語音"
tw_1095,"你已進入隊伍語音頻道，頻道剩餘時間%02u:%02u"
tw_1096,"\f3未加入隊伍，不可使用語音"
tw_1097,"\fW隊伍語音功能需要開啟麥克風權限，請在設備設定中允許麥克風權限"
tw_1098,"\f3未加入隊伍，無法生成隊員名片"
tw_1099,"語音設定"
tw_1100,"麥克風"
tw_1101,"揚聲器"
tw_1102,"伺服器正在維護中，預計開放時間%s"
tw_1103,"請拖放相同種類的裝備到[主裝備]和[副裝備]欄"
tw_1104,"所選[副裝備]強化等級必需大於等於安定值。"
tw_1105,"所選主裝備和副裝備種類不同"
tw_1106,"所選主裝備的最低使用等級不高於副裝備的最低使用等級%d等"
tw_1107,"所選副裝備無最低使用等級，主裝備的最低使用等級不可超過%d等"
tw_1108,"[繼承結果]的強化等級小於等於[副裝備]的強化等級。"
tw_1109,"還有裝備沒有保存，不能退出"
tw_1110,"強化等級融合繼承規則"
tw_1111,"融合繼承方法："
