de_0,"Client:%s Ressource:%u"
de_593,"*Ein Kauf ist unwiderruflich. Bitte prüfe genau, ob der Preis stimmt."
de_594,"Noch %s"
de_595,"Erneut hinterlegen"
de_596,Mitnehmen
de_597,"Gegenstand hinterlegen"
de_598,"Wähle den Gegenstand aus, den du hinterlegen willst."
de_599,"Bei Hinterlegung"
de_600,"Hinterlegung abgelaufen."
de_601,Waffe
de_602,Rüstung
de_603,Gegenstand
de_604,"Einhändiges Schwert"
de_605,"Zweihändiges Schwert"
de_606,Keule
de_607,Dolch
de_608,Stab
de_609,Bogen
de_610,Speer
de_611,"Einhändiger Speer"
de_612,"Zweihändige Keule"
de_613,Helm
de_614,Körperpanzer
de_615,Wams
de_616,Umhang
de_617,Stulpen
de_618,Schuhe
de_619,Schild
de_620,Gürtel
de_621,Halsband
de_622,Ring
de_623,Ohrringe
de_624,Stulpen
de_625,Pfeil
de_626,Stab
de_627,Edelstein
de_628,Trank
de_629,Rolle
de_630,Zauberbuch
de_631,Material
de_632,Sonstiges
de_633,"Preis pro Einheit:"
de_634,Menge:
de_635,"Nach Preis sortieren"
de_636,Gesamt
de_637,"Verkaufte Menge:"
de_638,Erlös
de_639,"Erlös gesamt:"
de_640,"Alles einfordern"
de_641,"Erlös einfordern"
de_642,Hinterlegungsanteil:
de_643,Verkauft
de_644,"Keine Suchergebnisse."
de_645,Alle
de_646,"Bitte hab Geduld und warte auf das Pop-Up-Fenster für die Zahlung."
de_647,"Zahlung wird auf dem Server überprüft … Bitte etwas Geduld."
de_648,"Zeitüberschreitung bei der Verarbeitung. Bitte wende dich an unseren Kundendienst."
de_649,"Überprüfung fehlgeschlagen. Fehlercode: %d."
de_650,"Zahlung bestätigt. Bitte nachsehen."
de_651,"Das System versucht, deinen zuvor fehlgeschlagenen Kauf (bis zu dreimal) zu bestätigen, wenn du einen weiteren Kauf durchführst."
de_652,"ZahlungsproZeses konnte nicht abgeschlossen werden. Bitte prüfe den Status deines verknüpften Kontos."
de_653,"*Eine Hinterlegung ist unwiderruflich. Bitte prüfe genau, ob der Preis stimmt."
de_654,Rüstungssatz
de_655,"Verknüpfe zuerst dein Konto, bevor du eine Zahlung durchführst."
de_656,Kriegsflagge
de_657,"Wähle einen Namen für deine Kriegsflagge aus."
de_658,"Kriegsflagge bearbeiten"
de_659,"1. Wähle ein Design und einen Namen für deine Kriegsflagge aus. Der Name der Kriegsflagge muss einmalig sein.\n2. Die verschiedenen Kriegsflaggen-Designs haben unterschiedliche Preise. \n3. Jeder Clan kann seine Kriegsflagge nur einmal festlegen. Danach kann die Kriegsflagge nicht mehr geändert werden."
de_660,"Suche nach deinem Abo-Datensatz"
de_661,"Abo erfolgreich abgerufen"
de_662,"Kann keinen Abo-Datensatz finden"
de_663,"Dein Abozeitraum ist bereits abgelaufen"
de_664,Benutzen
de_665,Kostüm
de_666,Einlösen
de_667,Rahmen
de_668,Standard
de_669,HG
de_670,Figur
de_671,Effekt
de_672,"Nicht genug Farbstoffe"
de_673,Dauer
de_674,"Vorschau kann nicht gespeichert werden. Du hast in diesem Feld bereits ein Kostüm eingelöst."
de_675,"Du kannst die gleiche Kombination aus BG, Figur und Effekt nicht zweimal einlösen."
de_676,"Exklusiv für Mitglieder"
de_677,"Du bist im Begriff, %d Einheiten Farbstoffe auszugeben, um ein Kostüm in Feld %hhu einzulösen "
de_678,"1. Magische Farbstoffe können Kostüme in unterschiedlichen Kombinationen für unterschiedliche Dauer einlösen.\n2. Besondere magische Farbstoffe können bestimmte Kostüme in bestimmten Kombinationen einlösen.\n3. Für jeden Charakter gibt es 3 Felder für Kostüme. Das Standard-Kostüm kann nicht geändert werden"
de_679,"BG %hhu, Figur %hhu, Effekt %hhu"
de_680,"Dauer: %hhu Tage"
de_681,"Vorschau wurde gespeichert."
de_682,"Erfolgreich eingelöst"
de_683,Bestätigung
de_684,"Nicht genug Farbstoffe"
de_685,"Dauer: %hhu Tage"
de_686,"Du bist im Begriff, %d Einheiten Farbstoffe auszugeben, um den Rahmen %hhu einzulösen:"
de_687,"Char-Info"
de_688,"Char-Info"
de_689,Kostüm
de_690,Sparen
de_691,Einlösen
de_692,Nächster
de_693,Bisherige
de_694,Ablaufzeit
de_695,K
de_696,R
de_697,M
de_698,E
de_699,"Magischer Farbstoff"
de_700,Standard-Kostüm
de_701,"\f2 Du hast %s erhalten"
de_702,Ziehen
de_703,"Schnelltasten sperren"
de_704,NPC
de_705,Cancel
de_706,"Exklusiv für Mitglieder"
de_707,Teamprofil
de_708,"Bitte melde dich bei einem registrierten Konto an, bevor du mit dem Abo weitermachst."
de_709,"Du spielst als Gast. Bitte registriere dein Konto, bevor du ein Abo abschließt."
de_710,"Kaufprüfung ist fehlgeschlagen und es wurde keine Zahlung ausgeführt."
de_711,"Kaufprüfung ist fehlgeschlagen und es wurde keine Zahlung ausgeführt."
de_712,"Angreiferauswahl:"
de_713,"MultiTouch:"
de_714,"Schnelltasten wechseln"
de_715,"Du benötigst einen Eid, um sekundäre Schnelltasten zu aktivieren."
de_716,"Level-Anzeige:"
de_717,"Kontolager"
de_718,"Clan-Lager"
de_719,"Charakterlager"
de_720,"Verbindung unterbrochen. Wieder verbinden: %u"
de_721,"Wieder verbinden"
de_722,"Liebe und bewerte es"
de_723,"Könnte besser sein"
de_724,"Bleibe ruhig"
de_725,"Vielen Dank, dass du Teon spielst. Wie gefällt dir Teon bis jetzt?"
de_726,"Akzeptiert"
de_727,"Abgeschlossen"
de_728,"Einladen"
de_729,"Meine Einladung:"
de_730,"Kopieren"
de_731,"Teilen"
de_732,"Lade deine Freunde zu Teon ein. Freue dich auf eine Prämie, wenn er/sie bestimmte Anforderungen erfüllt!"
de_733,"Regeln--\n1. Der Einladungslink ist für jedes Konto eines Einladenden eindeutig. Ein Spieler, der sich über diesen Link bei Teon anmeldet, gilt als eingeladener Spieler.\n2. Der Einladende wird belohnt, wenn seine/ihre Eingeladenen bestimmte Aktionen im Spiel durchführen.\n3. Ein Einladender kann mehrere Teilnehmer gleichzeitig einladen.\n4. Der Einladende und sein/ihr Eingeladener müssen sich auf demselben Server befinden.\n5. Der Einladende erhält eine Belohnung, wenn seine/ihre Eingeladenen Level 30, 49 und 59 erreichen oder sich anmelden."
de_734,"In deine Zwischenablage kopiert"
de_735,"Konnte nicht kopiert werden"
de_736,"%s\f=Legenden:%s\n"
de_737,"Quest-Liste"
de_738,"Wiederholbar"
de_739,"Akzeptierbar"
de_740,"Kann nicht akzeptierde"
de_741,"Nicht abgeschlossen"
de_742,"abgeschlossen"
de_743,"Statistikpunkte"
de_744,"Effekt von Statistikpunkten"
