es_0,"Cliente:%s Recurso:%u"
es_637,"Cantidad vendida"
es_638,Ganancias
es_639,"Ganancias totales"
es_640,"Reclamar todo"
es_641,"Reclamar ganancias"
es_642,"Índice de consigna:"
es_643,Vendido
es_644,"No hay resultados de búsqueda."
es_645,Todo
es_646,"Ten paciencia y espera a que salga la ventana emergente de pago."
es_647,"Verificando el pago en el servidor... Ten paciencia."
es_648,"El tiempo de procesamiento se ha agotado. Ponte en contacto con el servicio de asistencia."
es_649,"Error de verificación. Código de error: %d"
es_650,"Pago verificado. Compruébalo."
es_651,"El sistema intentará verificar la compra fallida anterior (hasta 3 veces) si realizas otra compra."
es_652,"No se ha completado el proceso de pago. Comprueba el estado de la cuenta vinculada."
es_653,"*La consigna es irreversible. Revisa el precio."
es_654,"Conjunto de armadura"
es_655,"Vincula tu cuenta antes de realizar un pago."
es_656,"Bandera de guerra"
es_657,"Elige un nombre para tu bandera de guerra."
es_658,"Editar bandera de guerra"
es_659,"1. Selecciona un diseño de bandera de guerra y elige un nombre para ella. El nombre de la bandera de guerra tiene que ser único. \n2. Las banderas de guerra tienen distintos precios según su diseño. \n3. Cada clan solo puede establecer su bandera de guerra una vez. Cuando lo haya hecho, no podrá cambiarla."
es_660,"Buscando tu registro de suscripción"
es_661,"Suscripción recuperada correctamente"
es_662,"No se encuentra ningún registro de suscripción"
es_663,"Tu periodo de suscripción ha caducado"
es_664,Utilizar
es_665,Traje
es_666,Redimir
es_667,Marco
es_668,Predeterminado
es_669,Fondo
es_670,Figura
es_671,Efecto
es_672,"No hay suficientes tintes"
es_673,Duración
es_674,"No se puede guardar la vista previa. Ya has canjeado un traje en este espacio."
es_675,"No puedes canjear la misma combinación de fondo, figura y efecto dos veces."
es_676,"Exclusivo para miembros"
es_677,"Canjear este traje en el espacio &hhu te costará %d tintes. ¿Continuar? "
es_678,"1. Los tintes mágicos pueden canjear trajes de diferentes combinaciones y duraciones. \n2. Los tintes mágicos especiales pueden canjear trajes específicos de diferentes combinaciones. \n3. Hay 3 espacios de traje por cada personaje. El traje predeterminado no se puede modificar."
es_679,"Fondo %hhu, figura %hhu, efecto %hhu"
es_680,"Duración: %hhu días"
es_681,"La vista previa está guardada."
es_682,"Canjeado correctamente"
es_683,Confirmación
es_684,"No hay suficientes tintes"
es_685,"Duración: %hhu días"
es_686,"Canjear el marco número &hhu te costará %d tintes. ¿Continuar?"
es_687,"Información de personaje"
es_688,"Información de personaje"
es_689,Traje
es_690,Salvar
es_691,Redimir
es_692,Siguiente
es_693,Anterior
es_694,"Hora de caducidad"
es_695,R
es_696,C
es_697,M
es_698,E
es_699,"Tinte mágico"
es_700,"Traje predeterminado"
es_701,"\f2Has recibido %s"
es_702,"Lotería exclusiva para miembros"
es_703,"Bloquear accesos directos"
es_704,NPC
es_705,Cancel
es_706,"Exclusivo para miembros"
es_707,"Perfil de equipo"
es_708,"Inicia sesión con una cuenta registrada para poder suscribirte."
es_709,"Estás jugando como invitado. Registra tu cuenta para poder suscribirte."
es_710,"Se ha producido un error al verificar la compra porque no se ha realizado ninguna facturación."
es_711,"Se ha producido un error al verificar la compra porque no se ha realizado ninguna facturación."
es_712,"Seleccionar atacante:"
es_713,"Multitáctil:"
es_714,"Cambiar accesos directos"
es_715,"Debes tener un juramento para activar los accesos directos secundarios."
es_716,"Visualización de nivel:"
es_717,"Almacén de cuenta"
es_718,"Almacén del clan"
es_719,"Almacén de personaje"
es_720,"Estás desconectado. Volviendo a conectar: %u"
es_721,"Volver a conectar"
es_722,"Admirarlo y valorarlo"
es_723,"Podía haber sido mejor"
es_724,"Permanecer en silencio"
es_725,"Gracias por jugar a Teon. ¿Qué te parece el juego hasta ahora?"
es_726,"Aceptado"
es_727,"Completado"
es_728,"Invitar"
es_729,"Mi invitación:"
es_730,"Copiar"
es_731,"Compartir"
es_732,"Invita a tus amigos a unirse a Teon. ¡Recibirás una recompensa cuando cumplan determinados requisitos!"
es_733,"Normas--\n1. El enlace de invitación es único para la cuenta de cada invitador. Todo jugador que se una a Teon a través de este enlace cuenta como un invitado.\n2. Se recompensará al invitador cuando sus invitados completen ciertas acciones en el juego.\n3. Un invitador puede tener múltiples invitados al mismo tiempo.\n4. El invitador y su invitado deben encontrarse en el mismo servidor.\n5. Se recompensará al invitador cuando sus invitados alcancen los niveles 30, 49, 59 o adquieran una suscripción.\n6.Regalo para el invitadorI:Poción curativa mayor*10,Poción de apresuramiento mayor*3\n7.Regalo para el invitadorⅡ:Pergamino polimórfico avanzado andrajoso(enlazado)*3\n8.Regalo para el invitadorⅢ:Pergamino avanzado de deformación (enlazado)*3\n9.Regalo Premium para el invitador:Pergamino de encantar armadura*1,Pergamino de encantar arma*1"
es_734,"Copiado en el portapapeles"
es_735,"Error al copiar"
es_736,"%s\f=Leyendas:%s\n"
es_737,"Lista de misiones"
es_738,"Repetible"
es_739,"Aceptable"
es_740,"No se puede aceptar"
es_741,"No completada"
es_742,"Completada"
es_743,"Puntos de estadísticas"
es_744,"Efecto de los puntos de estadísticas"
es_745,"Resucitar al pueblo | Resurrección | Salir del juego "
es_746,"Mapa"
es_747,"Introducir coordenadas"
es_748,"\f2Tu ubicación"
es_749,"Región"
es_750,"Mundo"
es_751,"NPC"
es_752,"No hay minimapa de esta región"
es_753,"\f3Introduce las coordenadas en el formato correcto"
es_754,"\f3Coordenadas no válidas"
es_755,"\f2Dirección"
es_756,"\f2Teletransporte"
es_757,"Esta región"
es_758,"Clan"
es_759,"Clan hostil:"
es_760,"Resultados:"
es_761,"Honor"
es_762,"Hora del último inicio de sesión"
es_763,"Clasificación de batalla de clan"
es_764,"Puntos de batalla"
es_765,"Clasificación mensual"
es_766,"Clasificación"
es_767,"Desafío"
es_768,"Selecciona un clan para desafiar"
es_769,"Desafío"
es_770,"¿Quieres desafiar a %s?"
es_771,"Rendirse"
es_772,"Tregua"
es_773,"Esta región no está abierta aún"
es_774,"Una energía inestable se difumina en el aire que rodea esta área. No percibes las indicaciones."
es_775,"Añadir"
es_776,"Eliminar"
es_777,"Vídeos de guía"
es_778,"Tutoriales"
es_779,"Avanzado"
es_780,"Subidas de jugador"
es_781,"Iniciando tutoriales en vídeo"
es_782,"Vídeo: %s\nRecomendado para nuevos jugadores"
es_783,"　Omitir | Ver tutorial"
es_784,"Ir"
es_785,"Rechazar"
es_786,"Este objeto ya está bajo protección. Si continúas, se sobrescribirá la protección anterior."
es_787,"　Sustituir　|　Cancelar"
es_788,"Efectos visuales u otros:"
es_789,"Este objeto ya está bajo protección mayor. Si continúas, se sobrescribirá la protección anterior."
