pt_0,"Cliente:%s Recurso:%u"
pt_601,Arma
pt_602,Armadura
pt_603,Item
pt_604,"Espada de Mão Única"
pt_605,"Espada de Duas Mãos"
pt_606,Porrete
pt_607,Adaga
pt_608,Cajado
pt_609,Arco
pt_610,Lança
pt_611,"Lança de Mão Única"
pt_612,"Porrete de Duas Mãos"
pt_613,Elmo
pt_614,"Armadura de Corpo"
pt_615,Gibão
pt_616,Manto
pt_617,Manoplas
pt_618,Sapatos
pt_619,Escudo
pt_620,Cinto
pt_621,Colar
pt_622,Anel
pt_623,Brincos
pt_624,Manoplas
pt_625,Flecha
pt_626,Cajado
pt_627,Gema
pt_628,Poção
pt_629,Pergaminho
pt_630,"Livro de Encantos"
pt_631,Material
pt_632,Outros
pt_633,"Preço Unitário:"
pt_634,Quantidade:
pt_635,"Ordenar por Preço"
pt_636,Total
pt_637,"Quantidade Vendida"
pt_638,Ganhos
pt_639,"Total de Ganhos:"
pt_640,"Solicitar Tudo"
pt_641,"Solicitar Ganhos"
pt_642,"Taxa de Consignação:"
pt_643,Vendido
pt_644,"Nenhum resultado da pesquisa."
pt_645,Tudo
pt_646,"Por favor, aguarde a exibição da janela de pagamento."
pt_647,"Verificando o pagamento no servidor... por favor, aguarde."
pt_648,"Tempo esgotado do processamento. Contate nosso Atendimento ao Cliente."
pt_649,"Falha na verificação. Código de erro: %d."
pt_650,"Pagamento verificado. Por favor, consulte."
pt_651,"O sistema tentará verificar a sua compra anteriormente não concluída (até 3 veZese) se você fizer outra compra."
pt_652,"Falha ao concluir o processo de pagamento. Verifique o status da sua conta vinculada."
pt_653,"*A consignação é irreversível. Verifique o preço com atenção."
pt_654,"Conjunto de Armadura"
pt_655,"Vincule sua conta antes de fazer um pagamento."
pt_656,"Bandeira de guerra"
pt_657,"Escolha um nome para a sua Bandeira de guerra."
pt_658,"Editar Bandeira de guerra"
pt_659,"1. Selecione um design de Bandeira de guerra e escolha um nome para ela. O nome da Bandeira de guerra deve ser único. \n2. Bandeiras de guerra de designs diferentes têm preços diferentes. \n3. Cada clã tem apenas uma oportunidade de definir sua Bandeira de guerra. Quando a Bandeira de guerra for definida, ela não pode ser alterada."
pt_660,"Pesquisando seu registro de assinatura"
pt_661,"Assinatura recuperada com sucesso"
pt_662,"Não foi possível encontrar nenhum registro de assinatura"
pt_663,"Seu período de assinatura já expirou"
pt_664,Usar
pt_665,Traje
pt_666,Resgatar
pt_667,Quadro
pt_668,Padrão
pt_669,Fundo
pt_670,Figura
pt_671,Efeito
pt_672,"Tinturas insuficientes"
pt_673,Duração
pt_674,"Não é possível salvar a visualização. Você já resgatou um traje neste slot."
pt_675,"Você não pode resgatar duas vezes a mesma combinação de Fundo, Figura e Efeito."
pt_676,"Exclusivo para Membros"
pt_677,"Você está prestes a gastar %d tinturas para resgatar um traje no slot %hhu "
pt_678,"1. Tinturas Mágicas podem resgatar trajes em diferentes combinações com diferentes durações. \n2. Tinturas Mágicas Especiais podem resgatar trajes específicos em combinações específicas. \n3. Para cada personagem, existem 3 slots de trajes. O traje padrão não pode ser modificado"
pt_679,"Fundo %hhu, Figura %hhu, Efeito %hhu"
pt_680,"Duração: %hhu dias"
pt_681,"A visualização foi salva."
pt_682,"Resgatado com sucesso"
pt_683,Confirmação
pt_684,"Tinturas insuficientes"
pt_685,"Duração: %hhu dias"
pt_686,"Você está prestes a gastar %d tinturas para resgatar %hhu quadro(s):"
pt_687,"Informações do Personagem"
pt_688,"Informações do Personagem"
pt_689,Traje
pt_690,Salve
pt_691,Resgatar
pt_692,Próximo
pt_693,Anterior
pt_694,"Tempo de Expiração"
pt_695,R
pt_696,C
pt_697,M
pt_698,E
pt_699,"Tintura Mágica"
pt_700,"Traje Padrão"
pt_701,"\f2 Você recebeu %s"
pt_702,Sorteio
pt_703,"Travar Teclas de Atalho"
pt_704,NPC
pt_705,Cancel
pt_706,"Exclusivo para Membros"
pt_707,"Perfil da equipe"
pt_708,"Acesse com uma conta registrada antes de prosseguir para a assinatura."
pt_709,"Você está jogando como visitante. Registre sua conta antes de assinar."
pt_710,"A verificação da compra não teve sucesso e nenhuma cobrança foi realizada."
pt_711,"A verificação da compra não teve sucesso e nenhuma cobrança foi realizada."
pt_712,"Seleção de Agressor:"
pt_713,"MultiTouch:"
pt_714,"Trocar Teclas de Atalho"
pt_715,"Você deve possuir um Juramento para habilitar teclas de atalho secundárias."
pt_716,"Exibição do Nível:"
pt_717,"Armazém da Conta"
pt_718,"Armazém do Clã"
pt_719,"Armazém do Personagem"
pt_720,"Você foi desconectado. Reconectando: %u"
pt_721,"Reconectar"
pt_722,"Adoro ou vou avaliar"
pt_723,"Poderia ser melhor"
pt_724,"Vou ficar em silêncio"
pt_725,"Obrigado por jogar o Teon. O que você está achando do Teon até agora?"
pt_726,"Aceito"
pt_727,"Concluído"
pt_728,"Convidar"
pt_729,"Meu Convite:"
pt_730,"Copiar"
pt_731,"Compartilhar"
pt_732,"Convide seus amigos para o Teon. Você receberá recompensas quando eles cumprirem determinados requisitos!"
pt_733,"Regras --\n1. O link de convite é único para a conta de cada jogador que convida. Um jogador que se registra no Teon através deste link é contado como um convidado.\n2. O jogador que convida será recompensado quando seus convidados concluírem determinadas ações no jogo.\n3. Um jogador que convida pode possuir diversos convidados ao mesmo tempo.\n4. O jogador que convida e seus convidados devem estar no mesmo servidor.\n5. O jogador que convida será recompensado quando seus convidados atingirem os níveis 30, 49 e 59 ou fizerem uma assinatura."
pt_734,"Copiado para sua área de transferência"
pt_735,"Falha ao copiar"
pt_736,"%s\f=Lendas:%s\n"
pt_737,"Lista de missões"
pt_738,"Repetível"
pt_739,"Aceitável"
pt_740,"Não é possível aceitar"
pt_741,"Incompleto"
pt_742,"Completo"
pt_743,"Pontos de Estatísticas"
pt_744,"Efeito dos Pontos de Estatísticas"
pt_745,"Ressurgir na cidade | 原地復活 | Sair do jogo "
