ru_0,"Клиент:%s Ресурс:%u"
ru_610,Копье
ru_611,"Одноручное копье"
ru_612,"Двуручное ударное оружие"
ru_613,Шлем
ru_614,Доспехи
ru_615,Дублет
ru_616,Плащ
ru_617,Перчатки
ru_618,Обувь
ru_619,Щит
ru_620,Пояс
ru_621,Ожерелье
ru_622,Кольцо
ru_623,Серьги
ru_624,Перчатки
ru_625,Стрела
ru_626,Посох
ru_627,Самоцвет
ru_628,Зелье
ru_629,Свиток
ru_630,"Книга заклинаний"
ru_631,Материал
ru_632,Прочее
ru_633,"Цена за ед.:"
ru_634,Кол-во:
ru_635,"Сортировать по цене"
ru_636,Всего
ru_637,"Проданное кол-во"
ru_638,Выручка
ru_639,"Всего выручки:"
ru_640,"Забрать все"
ru_641,"Забрать выручку"
ru_642,"Комиссионный коэфф.:"
ru_643,Продано
ru_644,"Поиск не дал результата."
ru_645,Все
ru_646,"Подождите появления окна оплаты."
ru_647,"Проверка оплаты на сервере... Подождите."
ru_648,"Срок обработки истек. Обратитесь в службу поддержки."
ru_649,"Ошибка верификации. Код ошибки: %d."
ru_650,"Оплата верифицирована. Просмотрите."
ru_651,"Если вы совершите еще одну покупку, система попытается верифицировать предыдущую неудачную покупку (вплоть до 3 раз)."
ru_652,"Не удалось завершить процесс оплаты. Проверьте статус подключенного аккаунта."
ru_653,"*Возврат комиссионной покупки не предусмотрен. Проверьте цену."
ru_654,"Комплект брони"
ru_655,"Перед оплатой подключите свой аккаунт."
ru_656,"Боевой флаг"
ru_657,"Выберите имя для боевого флага."
ru_658,"Изменить боевой флаг"
ru_659,"1. Выберите дизайн и имя боевого флага. Имя должно быть уникальным. \n2. Цена боевого флага зависит от его дизайна. \n3. У каждого клана есть только одна возможность выбрать боевой флаг. Выбранный боевой флаг сменить нельзя."
ru_660,"Ищем данные о вашей подписке"
ru_661,"Данные о подписке успешно получены"
ru_662,"Не удается найти данные о подписке"
ru_663,"Период вашей подписки уже истек"
ru_664,использование
ru_665,Костюм
ru_666,Выкупать
ru_667,Рамка
ru_668,Стандарт
ru_669,Фон
ru_670,Фигура
ru_671,Эффект
ru_672,"Недостаточно краски"
ru_673,Длительность
ru_674,"Не удается сохранить эскиз. Вы уже используете костюм в этой ячейке."
ru_675,"Нельзя использовать одинаковое сочетание фона, фигуры и эффекта дважды."
ru_676,"Только для членов"
ru_677,"Вы собираетесь потратить %d краски на костюм в ячейке %hhu "
ru_678,"1. Магическую краску можно обменять на костюмы с разными комбинациями и разной длительностью. \n2. Особую магическую краску можно обменять на особые костюмы с особыми комбинациями.
\n3. У каждого персонажа есть 3 ячейки для костюмов. Стандартный костюм изменить нельзя."
ru_679,"Фон %hhu, фигура %hhu, эффект %hhu"
ru_680,"Длительность: %hhu дн."
ru_681,"Эскиз сохранен."
ru_682,"Успешно использовано"
ru_683,Подтверждение
ru_684,"Недостаточно краски"
ru_685,"Длительность: %hhu дн."
ru_686,"Вы собираетесь потратить %d краски на рамку %hhu:"
ru_687,"Инф. о персонаже"
ru_688,"Инф. о персонаже"
ru_689,Костюм
ru_690,Сохранить
ru_691,Выкупать
ru_692,следующий
ru_693,предыдущий
ru_694,"Действует до"
ru_695,П
ru_696,Р
ru_697,М
ru_698,Э
ru_699,"Магическая краска"
ru_700,"Стандартный костюм"
ru_701,"\f2Вы получили %s"
ru_702,"Лотерея для членов"
ru_703,"Блокировать горячие клавиши"
ru_704,NPC
ru_705,Cancel
ru_706,"Только для членов"
ru_707,"Профиль отряда"
ru_708,"Чтобы оформить подписку, войдите в зарегистрированный аккаунт."
ru_709,"Вы играете как гость. Зарегистрируйте аккаунт, прежде чем оформлять подписку."
ru_710,"Подтвердить покупку не удалось, деньги не списаны."
ru_711,"Подтвердить покупку не удалось, деньги не списаны."
ru_712,"Выбор атакующего:"
ru_713,"MultiTouch:"
ru_714,"Сменить горячие клавиши"
ru_715,"Чтобы активировать дополнительные горячие клавиши, нужна клятва."
ru_716,"Отображение уровня:"
ru_717,"Склад аккаунта"
ru_718,"Склад клана"
ru_719,"Склад персонажа"
ru_720,"Обрыв связи. Восстановление: %u"
ru_721,"Подключиться"
ru_722,"Нравится, оценю"
ru_723,"Могло бы быть лучше"
ru_724,"Промолчу"
ru_725,"Благодарим за игру в Teon. Как бы вы оценили игру на данном этапе?"
ru_726,"Принято"
ru_727,"Завершено"
ru_728,"Пригласить"
ru_729,"Мои приглашения:"
ru_730,"Копировать"
ru_731,"Поделиться"
ru_732,"Пригласите друзей в Teon и получите награды, когда ваш друг выполнит определенные требования!"
ru_733,"Правила--\n1. Пригласительная ссылка уникальна для каждого аккаунта пригласившего игрока. Игрок, зарегистрировавшийся в Teon по этой ссылке, считается приглашенным.\n2. Пригласивший игрок получает награду, когда его приглашенный совершает в игре определенные действия.\n3. У одного пригласившего игрока может быть несколько приглашенных одновременно.\n4. Пригласивший игрок и его приглашенные должны быть на одном сервере.\n5. Пригласивший игрок получает награду, когда его приглашенные оформляют подписку или достигают 30-го, 49-го и 59-го уровней.\n6.Подарок пригласившемуI:Большое лечебное зелье*10,Большое зелье ускорения*3\n7.Подарок пригласившемуⅡ:Порванный продвинутый свиток превращения(привязанный)*3\n8.Подарок пригласившемуⅢ:Продвинутый свиток деформации (привязанный)*3\n9.Премиум-подарок пригласившему:Свиток заколдованной брони*1,Свиток заколдованного оружия*1"
ru_734,"Скопировано в буфер обмена"
ru_735,"Скопировать не удалось"
ru_736,"%s\f=Легенды:%s\n"
ru_737,"Список заданий"
ru_738,"Повторяемое"
ru_739,"Можно принять"
ru_740,"Нельзя принять"
ru_741,"Не выполнено"
ru_742,"Выполнено"
ru_743,"Очки параметров"
ru_744,"Эффект очков параметров"
ru_745,"Ожить в городе | Воскрешение | Выйти из игры "
ru_746,"Карта"
ru_747,"Введите координаты"
ru_748,"\f2Ваше местоположение"
ru_749,"Регион"
ru_750,"Мир"
ru_751,"NPC"
ru_752,"Нет мини-карты для этого региона"
ru_753,"\f3Введите координаты в правильном формате"
ru_754,"\f3Недопустимые координаты"
ru_755,"f2Направление"
ru_756,"f2Телепорт"
ru_757,"Здесь в воздухе витает нестабильная сила. Невозможно использовать систему наведения."
ru_758,"Клан"
ru_759,"Вражеский клан:"
ru_760,"Результаты:"
ru_761,"Честь"
ru_762,"Последний вход"
ru_763,"Боевой рейтинг клана"
ru_764,"Боевые очки"
ru_765,"Месячный рейтинг"
ru_766,"Рейтинг"
ru_767,"Сражение"
ru_768,"Выберите клан для сражения"
ru_769,"Сражение"
ru_770,"Хотите сразиться с кланом %s?"
ru_771,"Сдаться"
ru_772,"Перемирие"
ru_773,"Этот регион еще не открыт"
ru_774,"В воздухе витает нестабильная сила. Вы не чувствуете, откуда она исходит."
ru_775,"Добавить"
ru_776,"Удалить"
ru_777,"Видеопрохождение"
ru_778,"Обучение"
ru_779,"Продвинутое"
ru_780,"Загрузки игрока"
ru_781,"Начало видеообучения"
ru_782,"Видео: %s\nРекомендуется для новых игроков"
ru_783,"　Пропустить | Посмотреть "
ru_784,"Вперед"
ru_785,"Отклонить"
ru_786,"Этот предмет уже под защитой, и это действие заменит ее."
ru_787,"　Заменить　|　Отменить　"
ru_788,"VFX (прочее):"
ru_789,"Этот предмет уже под улучшенной защитой, и это действие заменит ее."
ru_790,"Направление"
ru_791,"Горячие клавиши"
ru_792,"Превращение"
ru_793,"Использование предметов"
ru_794,"Сражение с чудовищами"
ru_795,"Идентификация предметов"
ru_796,"Изучение заклинаний"
ru_797,"Зачарование снаряжения"
ru_798,"Discard ‘%s’ x‘%d’?"
ru_799,月費類型
ru_800,月費到期時間
ru_801,無
ru_802,獎勵
ru_803,會員
ru_804,十年
ru_805,封印
ru_806,試用
ru_807,血盟名稱
ru_808,人數
ru_809,盟主名稱
