it_0,"Client:%s Risorsa:%u"
it_642,"Tasso di spedizione:"
it_643,Venduto
it_644,"Nessun risultato di ricerca"
it_645,Tutto
it_646,"Ti preghiamo di attendere che compaia la finestra di pagamento."
it_647,"Verifica del pagamento sul server in corso... ti preghiamo di attendere."
it_648,"Elaborazione scaduta. Contatta l'Assistenza clienti."
it_649,"Verifica non andata a buon fine. Codice errore: %d."
it_650,"Pagamento verificato. Ti preghiamo di controllare."
it_651,"Se effettui un altro acquisto, il sistema tenterà una verifica del tuo acquisto precedentemente non andato a buon fine (fino a 3 volte)."
it_652,"Finalizzazione del pagamento non andata a buon fine. Ti preghiamo di controllare lo stato del tuo account collegato."
it_653,"*La spedizione è irreversibile. Ti preghiamo ti ricontrollare il prezzo."
it_654,"Set armatura"
it_655,"Collega il tuo account prima di effettuare un pagamento."
it_656,Stendardo
it_657,"Scegli un nome per il tuo Stendardo."
it_658,"Modifica Stendardo"
it_659,"1. Seleziona un modello di Stendardo e scegli un nome. Il nome dello Stendardo deve essere univoco. \n2. I diversi modelli di Stendardo hanno prezzi differenti. \n3. Ciascun clan ha una sola possibilità di impostare il proprio Stendardo. Una volta impostato, non può essere modificato."
it_660,"Ricerca dei dati di iscrizione in corso"
it_661,"Iscrizione recuperata"
it_662,"Nessuna iscrizione rilevata"
it_663,"Il tuo periodo d’iscrizione è scaduto"
it_664,Uso
it_665,Costume
it_666,Riscattare
it_667,Armatura
it_668,Predefinito
it_669,Sfondo
it_670,Figura
it_671,Effetto
it_672,"Tinte insufficienti"
it_673,Durata
it_674,"Impossibile salvare l'anteprima. Hai già riscosso un costume in questo slot."
it_675,"Non puoi riscuotere due volte la stessa combinazione di BG, figura ed effetto."
it_676,"Esclusivo per membri"
it_677,"Stai per spendere %d tinte per riscuotere un costume nello slot %hhu "
it_678,"1. Le tinte magiche possono farti riscuotere costumi in diverse combinazioni e per diverse durate. \n2. Le tinte magiche possono farti riscuotere costumi con combinazioni specifiche. \n3. Vi sono 3 slot di costumi per ogni personaggio. Il costume predefinito non può essere modificato"
it_679,"Sfondo %hhu, Figura %hhu, Effetto %hhu"
it_680,"Durata: %hhu giorni"
it_681,"Anteprima salvata."
it_682,"Riscossione completata"
it_683,Conferma
it_684,"Tinte insufficienti"
it_685,"Durata: %hhu giorni"
it_686,"Stai per spendere %d tinte per riscuotere un’armatura %hhu:"
it_687,"Dati pers."
it_688,"Dati pers."
it_689,Costume
it_690,Salvare
it_691,Riscattare
it_692,"Il prossimo"
it_693,Precedente
it_694,Scadenza
it_695,R
it_696,C
it_697,M
it_698,E
it_699,"Tinta magica"
it_700,"Costume predefinito"
it_701,"\f2 Hai ricevuto %s"
it_702,Estrai
it_703,"Blocca Hotkey"
it_704,NPC
it_705,Cancel
it_706,"Esclusivo per membri"
it_707,"Profilo squadra"
it_708,"Per iscriverti, accedi ad un account registrato."
it_709,"Stai giocando come ospite. Registra un account per completare l’iscrizione."
it_710,"Verifica dell'acquisto non riuscita. Non è stato effettuato alcun addebito."
it_711,"Verifica dell'acquisto non riuscita. Non è stato effettuato alcun addebito."
it_712,"Seleziona attaccante:"
it_713,"Multi-tocco:"
it_714,"Cambia Hotkey"
it_715,"Per abilitare le hotkey secondarie, devi avere un Giuramento."
it_716,"Visore livello:"
it_717,"Magazzino Account"
it_718,"Magazzino del clan"
it_719,"Magazzino Personaggio"
it_720,"Ti sei scollegato. Riconnessione in corso: %u"
it_721,"Riconnetti"
it_722,"Love it and rate it"
it_723,"Could have done better"
it_724,"Remain silent"
it_725,"Thank you for playing Teon. How do you like Teon so far?"
